universe,runner,execution_timing,price_mode,start_date,end_date,cagr,sharpe,max_dd,volatility,avg_turnover_per_rebalance,peak_turnover_per_rebalance,turnover_sum,total_cost,tc_drag,slippage_drag,avg_cash_exposure,min_cash_exposure,max_target_gross,avg_target_gross,min_selected,n_rebalances,n_trades,variant,sleeve,trade_threshold,persistence_exit_rank,update_frequency,partial_rebalance,cost_bps,project_beta,avg_beta_before,avg_beta_after,min_beta_after,max_beta_after,control_beta_violations_after,daily_beta_violations_after,control_gross_violations_after,daily_gross_violations_after,avg_control_scale,min_control_scale,turnover_vs_b2_delta,sharpe_vs_b2_delta,cagr_vs_b2_delta,max_dd_vs_b2_delta,passes_b3
sp500_dynamic,b2_every_2_no_projection_every_2_rebalances_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.18329933873351445,1.1438046721244668,-0.33686889659237984,0.1602540566590448,0.7468459801094475,1.9399952995017806,89.62151761313369,26050.844982771698,26050.844982771698,0.0,-0.1329436758727521,-0.3462034939365286,1.3462034939365286,1.1329436758727522,21,120,3704,b2_every_2_no_projection,b2_every_2_no_projection,0.0,,every_2_rebalances,1.0,10.0,False,0.8618514337520803,0.8618514337520803,0.1741087611706269,1.4434214177984839,90,3323,0,0,1.0,1.0,-3.8686630432493985e-07,-3.2787553316815377e-07,3.387335144600101e-07,1.0340762013338889e-07,False
sp500_dynamic,b3_every_2_beta_projection_every_2_rebalances_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.1550270112761334,1.0686202914115575,-0.3127515125082082,0.14507212011794737,0.6805948653485812,1.879613597436819,81.67138384182974,17381.27725833957,17381.27725833957,0.0,0.004725093078644977,-0.5000000000000009,1.5000000000000009,0.9952749069213551,21,120,3747,b3_every_2_beta_projection,b3_every_2_beta_projection,0.0,,every_2_rebalances,1.0,10.0,True,0.8618514337520803,0.7133860627800941,0.3223593369414678,0.9827526844163035,0,1468,0,0,0.8875381369345822,0.5625740546091348,-7.950134158170258,-0.0751847085884425,-0.028271988723866603,0.024117487491791767,False
