universe_path,universe,sleeve,base_vol_weight,base_trend_weight,stress_k,stress_variant,vix_weight,drawdown_weight,cost_bps,regime,cagr,sharpe,max_dd,max_gross,passes_max_gross,passes_regime_dd,passes_regime_sharpe
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_50_50_k_30,0.5,0.5,0.3,vix_only,1.0,0.0,10.0,2022,0.06129657384632403,0.718605773126583,-0.05567043755652712,1.3750000000000002,True,True,False
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_50_50_k_30,0.5,0.5,0.3,vix_only,1.0,0.0,10.0,2023_2026,0.23560037700247682,2.5604808859638464,-0.07482361703123663,1.3750000000000002,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_50_50_k_40,0.5,0.5,0.4,vix_only,1.0,0.0,10.0,2008_crisis,0.007522671133246339,0.06386322880250034,-0.10253690874175836,1.3750000000000002,True,True,False
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_50_50_k_40,0.5,0.5,0.4,vix_only,1.0,0.0,10.0,2010_2019,0.17376060090882217,1.8278645036891559,-0.11686036720113924,1.3750000000000002,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_50_50_k_40,0.5,0.5,0.4,vix_only,1.0,0.0,10.0,2020,0.16344599642179358,1.0081937944736545,-0.16317988825227792,1.3750000000000002,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_50_50_k_40,0.5,0.5,0.4,vix_only,1.0,0.0,10.0,2022,0.05112371632831936,0.6273680435325459,-0.055442580957889565,1.3750000000000002,True,True,False
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_50_50_k_40,0.5,0.5,0.4,vix_only,1.0,0.0,10.0,2023_2026,0.228764589483196,2.514784924050401,-0.07494881328935443,1.3750000000000002,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_40_60_k_20,0.4,0.6,0.2,vix_only,1.0,0.0,10.0,2008_crisis,0.011786982749082853,0.10001945545132354,-0.0993346559790953,1.3750000000000002,True,True,False
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_40_60_k_20,0.4,0.6,0.2,vix_only,1.0,0.0,10.0,2010_2019,0.16172963638806004,1.7203640754779548,-0.11605796685811043,1.3750000000000002,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_40_60_k_20,0.4,0.6,0.2,vix_only,1.0,0.0,10.0,2020,0.1673644309753115,1.0319549121253067,-0.1632739794079513,1.3750000000000002,True,True,True
