variant,cagr,sharpe,max_dd,dd_2020,dd_2022,overlay_events,overlay_days,trade_count,total_cost,avg_cash_exposure,maxdd_below_32_or_meaningfully_below_34,cagr_gt_16pct,sharpe_ge_0_9,trade_count_below_current_overlay,cost_closer_to_baseline,dd_2020_reduces,maxdd_improves_vs_baseline,all_pass
baseline_v1,0.1730359846498546,0.9170041221738192,-0.37064522816067014,-0.37064522816067014,-0.3364881296741482,0,0,5872,29526.91970359328,0.10695254470777697,False,True,True,True,True,True,False,False
overlay_hysteresis_3d,0.16638091308499403,0.9492515741971951,-0.3320152267047066,-0.2728684862829349,-0.32854260048937534,202,317,9808,37978.42958142971,0.12495659023110754,True,True,True,False,False,True,True,False
overlay_hysteresis_5d,0.16572620767295687,0.9503276044803353,-0.33499849568616835,-0.272865518101452,-0.3282291044265119,199,354,9692,37697.05334392704,0.12755602022365758,True,True,True,False,False,True,True,False
overlay_hysteresis_10d,0.16950552374682082,1.0049629915727936,-0.3237099359384277,-0.2502478245279811,-0.32189092186968626,185,548,9264,37637.33714768752,0.14330280420519048,True,True,True,False,False,True,True,False
overlay_hysteresis_5d_cooldown_3d,0.16501720790114893,0.9454242181196297,-0.33499849568616813,-0.2728655181014519,-0.32822910442651176,198,348,9673,37279.344241651954,0.1273375852141092,True,True,True,False,True,True,True,False
overlay_hysteresis_5d_cooldown_5d,0.16151800643358594,0.923054452601559,-0.33499849568616824,-0.3123659214613381,-0.328229104426512,198,343,9673,36036.482355968765,0.12703634680699114,True,True,True,False,True,True,True,False
