universe,direction,period,mean_ic,ic_sharpe,pct_positive_ic,mean_top_bottom_spread,n_dates
sp100_sample,long_high_vol_rebound,2006_2009,0.044218479288620646,0.1557350099295714,0.5603813559322034,0.016653872137487695,944
sp100_sample,long_high_vol_rebound,2010_2014,0.008610774559549395,0.027954436808773006,0.5317965023847376,0.00902732479125334,1258
sp100_sample,long_high_vol_rebound,2015_2019,0.046487762576691696,0.1570855254626855,0.5540540540540541,0.010715748772395116,1258
sp100_sample,long_high_vol_rebound,2020_2022,-0.013267412966978264,-0.04520061760357186,0.43915343915343913,0.012432122157360274,756
sp100_sample,long_high_vol_rebound,2023_2026,0.10361489363255282,0.42356605122589924,0.6600741656365884,0.0288884033632446,809
sp100_sample,long_low_vol_quality,2006_2009,-0.044218479288620646,-0.1557350099295714,0.4396186440677966,-0.016653872137487695,944
sp100_sample,long_low_vol_quality,2010_2014,-0.008610774559549395,-0.027954436808773006,0.4682034976152623,-0.009163419045398167,1258
sp100_sample,long_low_vol_quality,2015_2019,-0.046487762576691696,-0.1570855254626855,0.44594594594594594,-0.010715748772395116,1258
sp100_sample,long_low_vol_quality,2020_2022,0.013267412966978264,0.04520061760357186,0.5608465608465608,-0.012432122157360274,756
sp100_sample,long_low_vol_quality,2023_2026,-0.10361489363255282,-0.42356605122589924,0.3399258343634116,-0.0288884033632446,809
sp500_dynamic,long_high_vol_rebound,2006_2009,0.016702876282244324,0.06701474785396391,0.5233050847457628,0.015679882559516217,944
sp500_dynamic,long_high_vol_rebound,2010_2014,0.015668133633565808,0.05953849248842826,0.5421303656597775,0.00624449385051021,1258
sp500_dynamic,long_high_vol_rebound,2015_2019,0.019016975573642934,0.08013100578603428,0.5063593004769475,0.005140865336112244,1258
sp500_dynamic,long_high_vol_rebound,2020_2022,0.01716015177255186,0.06274670197716724,0.49867724867724866,0.010987754821871237,756
sp500_dynamic,long_high_vol_rebound,2023_2026,0.06107744758143964,0.24404469814727525,0.5574783683559951,0.023460095301650805,809
sp500_dynamic,long_low_vol_quality,2006_2009,-0.016702876282244324,-0.06701474785396391,0.4766949152542373,-0.01568544335870385,944
sp500_dynamic,long_low_vol_quality,2010_2014,-0.015668133633565808,-0.05953849248842826,0.4578696343402226,-0.006242458400291344,1258
sp500_dynamic,long_low_vol_quality,2015_2019,-0.019016975573642934,-0.08013100578603428,0.49364069952305245,-0.005136874550094837,1258
sp500_dynamic,long_low_vol_quality,2020_2022,-0.01716015177255186,-0.06274670197716724,0.5013227513227513,-0.010977374259531686,756
sp500_dynamic,long_low_vol_quality,2023_2026,-0.06107744758143964,-0.24404469814727525,0.44252163164400493,-0.023462074697039967,809
