universe,direction,selection,top_n,sector_balanced,mean_forward_return,mean_universe_forward_return,mean_excess_forward_return,hit_rate_vs_top_quintile,n_rebalances
sp100_sample,long_high_vol_rebound,top_10,10,False,0.02192139247403675,0.013770855345217561,0.008150537128819184,0.30993034825870647,5025
sp100_sample,long_high_vol_rebound,top_20,20,False,0.017968252185734477,0.013770855345217561,0.004197396840516918,0.26509452736318406,5025
sp100_sample,long_high_vol_rebound,top_30,30,False,0.015779597795341046,0.013770855345217561,0.0020087424501234854,0.23611276948590382,5025
sp100_sample,long_high_vol_rebound,top_50,50,False,0.013770855345217561,0.013770855345217561,6.68861041732351e-20,0.2089794583300395,5025
sp100_sample,long_high_vol_rebound,sector_balanced_top_20,20,True,0.01672056420967863,0.013770855345217561,0.0029497088644610692,0.25039800995024875,5025
sp100_sample,long_high_vol_rebound,sector_balanced_top_50,50,True,0.013770855345217561,0.013770855345217561,3.184641605151452e-20,0.2089794583300395,5025
sp100_sample,long_low_vol_quality,top_10,10,False,0.00925367945364832,0.013770855345217561,-0.004517175891569242,0.14415920398009952,5025
sp100_sample,long_low_vol_quality,top_20,20,False,0.009905085142106668,0.013770855345217561,-0.0038657702031108937,0.15669651741293533,5025
sp100_sample,long_low_vol_quality,top_30,30,False,0.010877433048098233,0.013770855345217561,-0.002893422297119328,0.17291542288557213,5025
sp100_sample,long_low_vol_quality,top_50,50,False,0.013770855345217561,0.013770855345217561,1.389504873792368e-20,0.2089794583300395,5025
sp100_sample,long_low_vol_quality,sector_balanced_top_20,20,True,0.011153576999711187,0.013770855345217561,-0.0026172783455063737,0.1690547263681592,5025
sp100_sample,long_low_vol_quality,sector_balanced_top_50,50,True,0.013770855345217561,0.013770855345217561,-1.372243943683146e-20,0.2089794583300395,5025
sp500_dynamic,long_high_vol_rebound,top_10,10,False,0.03378880211579351,0.013512118470052566,0.020276683645740944,0.3733731343283582,5025
sp500_dynamic,long_high_vol_rebound,top_20,20,False,0.0303473372609794,0.013512118470052566,0.016835218790926827,0.3566666666666667,5025
sp500_dynamic,long_high_vol_rebound,top_30,30,False,0.027342006508835136,0.013512118470052566,0.013829888038782566,0.34339635157545606,5025
sp500_dynamic,long_high_vol_rebound,top_50,50,False,0.023835391748855735,0.013512118470052566,0.010323273278803169,0.32265472636815923,5025
sp500_dynamic,long_high_vol_rebound,sector_balanced_top_20,20,True,0.027115070402329203,0.013512118470052566,0.013602951932276636,0.3306965174129353,5025
sp500_dynamic,long_high_vol_rebound,sector_balanced_top_50,50,True,0.02177965186525255,0.013512118470052566,0.008267533395199984,0.30373333333333336,5025
sp500_dynamic,long_low_vol_quality,top_10,10,False,0.009028545293102498,0.013512118470052566,-0.00448357317695007,0.1385273631840796,5025
sp500_dynamic,long_low_vol_quality,top_20,20,False,0.009469412495177663,0.013512118470052566,-0.004042705974874905,0.1372636815920398,5025
sp500_dynamic,long_low_vol_quality,top_30,30,False,0.009537501742212092,0.013512118470052566,-0.003974616727840475,0.13953565505804313,5025
sp500_dynamic,long_low_vol_quality,top_50,50,False,0.0095245912128069,0.013512118470052566,-0.0039875272572456695,0.14126965174129352,5025
sp500_dynamic,long_low_vol_quality,sector_balanced_top_20,20,True,0.009852160744692534,0.013512118470052566,-0.003659957725360034,0.14129353233830846,5025
sp500_dynamic,long_low_vol_quality,sector_balanced_top_50,50,True,0.010274602230675584,0.013512118470052566,-0.0032375162393769863,0.14477611940298507,5025
