universe,vol_sleeve,diversifier_sleeve,rolling_corr_min,rolling_corr_median,rolling_corr_max
sp100_sample,vol_top_10,crisis_diversifier_top_10_beta_0_6,0.42210032150664023,0.7115792049465254,0.9023563229969139
sp100_sample,vol_top_10,crisis_diversifier_top_10_beta_0_8,0.5681786375684855,0.8000507824812063,0.9282729078542435
sp100_sample,vol_top_10,crisis_diversifier_top_10_equal_weight,0.5615229851781193,0.8688753828323388,0.9601191883144514
sp100_sample,vol_top_10,crisis_diversifier_top_20_beta_0_6,0.38982420324483447,0.685308583701569,0.88465638372159
sp100_sample,vol_top_10,crisis_diversifier_top_20_beta_0_8,0.6129286380986135,0.8243498440328849,0.9387560257943977
sp100_sample,vol_top_10,crisis_diversifier_top_20_equal_weight,0.6158634935125589,0.903167271829037,0.970238605075496
sp100_sample,vol_top_10,crisis_diversifier_top_30_beta_0_6,0.4364689813972901,0.6954250898656416,0.8767777314071201
sp100_sample,vol_top_10,crisis_diversifier_top_30_beta_0_8,0.6418306233181541,0.8290878038537235,0.9354549834679565
sp100_sample,vol_top_10,crisis_diversifier_top_30_equal_weight,0.662685025176454,0.889867225019103,0.9633635495791164
sp100_sample,vol_top_20,crisis_diversifier_top_10_beta_0_6,0.5913511265353798,0.79424848618402,0.9324426433810686
sp100_sample,vol_top_20,crisis_diversifier_top_10_beta_0_8,0.7194806433477996,0.8602239263295409,0.9549707124876489
sp100_sample,vol_top_20,crisis_diversifier_top_10_equal_weight,0.7163425103025725,0.9100606058290588,0.9785973196008265
sp100_sample,vol_top_20,crisis_diversifier_top_20_beta_0_6,0.5778134165507498,0.7799160721356064,0.9198626696577409
sp100_sample,vol_top_20,crisis_diversifier_top_20_beta_0_8,0.7423941840377724,0.8929131422390515,0.9671295577419398
sp100_sample,vol_top_20,crisis_diversifier_top_20_equal_weight,0.7851746497583725,0.9535989062614798,0.9875292701086624
sp100_sample,vol_top_20,crisis_diversifier_top_30_beta_0_6,0.5553448571966761,0.7931449085614142,0.9128670823613786
sp100_sample,vol_top_20,crisis_diversifier_top_30_beta_0_8,0.7816418646840505,0.9075144232127124,0.9740131084711589
sp100_sample,vol_top_20,crisis_diversifier_top_30_equal_weight,0.8235176289862999,0.9545471130960829,0.991370165988347
