universe,variant,direction,top_n,use_optimizer,use_risk_engine,cagr,sharpe,max_dd,volatility,mean_ic,ic_sharpe,mean_spread,n_rebalances,trade_count
sp100_sample,long_high_vol_rebound_top_10_ew,long_high_vol_rebound,10.0,False,False,0.2500629923556166,0.8853458016754872,-0.5117472221373957,0.28244669131810507,0.04075423939785715,0.12592582721274112,0.016750035244467942,238,2815
sp100_sample,long_high_vol_rebound_top_20_ew,long_high_vol_rebound,20.0,False,False,0.19756991474798125,0.8142555292179235,-0.5014379240632629,0.24263871433300951,0.04075423939785715,0.12592582721274112,0.016750035244467942,238,5350
sp100_sample,long_high_vol_rebound_top_30_ew,long_high_vol_rebound,30.0,False,False,0.17559082622528588,0.8239162812166341,-0.45695173683262946,0.2131173157131937,0.04075423939785715,0.12592582721274112,0.016750035244467942,238,7632
sp100_sample,long_high_vol_rebound_top_50_ew,long_high_vol_rebound,50.0,False,False,0.16160635027960857,0.852331789098915,-0.43062926822937153,0.18960497818632197,0.04075423939785715,0.12592582721274112,0.016750035244467942,238,9710
sp100_sample,long_high_vol_rebound_optimizer_no_risk,long_high_vol_rebound,,True,False,0.20547368195615645,0.8658454058321985,-0.4689886182097768,0.23730989455175028,0.04075423939785715,0.12592582721274112,0.016750035244467942,238,5843
sp100_sample,long_high_vol_rebound_optimizer_risk,long_high_vol_rebound,,True,True,0.1730507008468798,0.9170771997491411,-0.3706452281606706,0.18869807350375342,0.04075423939785715,0.12592582721274112,0.016750035244467942,238,5812
sp100_sample,long_low_vol_quality_top_10_ew,long_low_vol_quality,10.0,False,False,0.09830250311253352,0.6446502500818098,-0.375971515400945,0.15248966877785028,-0.04075423939785715,-0.12592582721274112,-0.017862638087259474,238,2974
sp100_sample,long_low_vol_quality_top_20_ew,long_low_vol_quality,20.0,False,False,0.10747826736324662,0.6816854941866505,-0.39029466621971787,0.15766547517852605,-0.04075423939785715,-0.12592582721274112,-0.017862638087259474,238,5343
sp100_sample,long_low_vol_quality_top_30_ew,long_low_vol_quality,30.0,False,False,0.12914199100879076,0.758700531631342,-0.4014693282004327,0.1702147100531383,-0.04075423939785715,-0.12592582721274112,-0.017862638087259474,238,7619
sp100_sample,long_low_vol_quality_top_50_ew,long_low_vol_quality,50.0,False,False,0.16160635027960857,0.852331789098915,-0.43062926822937153,0.18960497818632197,-0.04075423939785715,-0.12592582721274112,-0.017862638087259474,238,9710
sp100_sample,long_low_vol_quality_optimizer_no_risk,long_low_vol_quality,,True,False,0.10125530475459099,0.6817275715480418,-0.36416813862056696,0.14852751888069335,-0.04075423939785715,-0.12592582721274112,-0.017862638087259474,238,5884
sp100_sample,long_low_vol_quality_optimizer_risk,long_low_vol_quality,,True,True,0.08341168605056604,0.6889663040242976,-0.26331783979594736,0.12106787452935344,-0.04075423939785715,-0.12592582721274112,-0.017862638087259474,238,5850
sp100_sample,spy_buy_hold,benchmark,,False,False,0.11144632660048526,0.5608854060492096,-0.5187377367045919,0.19869714098196284,,,,0,0
sp100_sample,equal_weight_universe_daily,benchmark,,False,False,0.1620338781084798,0.830179574521921,-0.4318043602887731,0.19517931189982712,,,,0,0
sp500_dynamic,long_high_vol_rebound_top_10_ew,long_high_vol_rebound,10.0,False,False,0.24117824754584682,0.5665785349693852,-0.7072701793900134,0.42567487587379,0.03390386448584041,0.12984777444560883,0.01490810256515665,230,3117
sp500_dynamic,long_high_vol_rebound_top_20_ew,long_high_vol_rebound,20.0,False,False,0.21255464970349092,0.5606249698488018,-0.6780152893390063,0.379138748958713,0.03390386448584041,0.12984777444560883,0.01490810256515665,230,6020
sp500_dynamic,long_high_vol_rebound_top_30_ew,long_high_vol_rebound,30.0,False,False,0.20267452270886732,0.5773386571312694,-0.6641314105372076,0.351049631278692,0.03390386448584041,0.12984777444560883,0.01490810256515665,230,8900
