period_id,start_date,trough_date,recovery_date,duration_days,recovery_days,depth,avg_gross_exposure,avg_net_exposure,avg_sector_concentration,max_sector_concentration,avg_turnover,avg_vix,max_vix,avg_spy_drawdown,min_spy_drawdown,avg_beta,top10_loser_contribution,mean_rebalance_ic
1,2020-02-19,2020-03-23,2021-01-06,33,322,-0.3706452281606696,0.8731685781593255,0.8731685781593255,0.16405214868459492,0.19977015277471627,0.015643011535121015,44.47500014305115,82.69000244140625,-0.14208186396917988,-0.3197807576362781,0.9943155674646568,-0.2541333339366678,-0.17586649600845575
2,2022-01-04,2022-09-30,2024-02-08,269,765,-0.33648812967397024,0.834802375067055,0.834802375067055,0.16735702956584075,0.21509729192365418,0.012881803708240429,25.77663109519265,36.45000076293945,-0.12270233114258251,-0.23177140648314676,0.9799133573443117,-0.21516708350311506,-0.10557603184497366
3,2008-06-05,2008-11-20,2009-10-14,168,496,-0.29831832179953166,0.5330432605373705,0.5330432605373705,0.127719459438171,0.22417029039069875,0.004828496481875843,35.60369741616129,80.05999755859375,-0.23454227742361508,-0.45272905027222776,0.7156418277923201,-0.3164483523822406,-0.22975099347031866
4,2011-02-18,2011-11-25,2012-03-13,280,389,-0.2193863052977687,0.837604883385922,0.837604883385922,0.16966494462980858,0.20592921859998126,0.00598130468172183,25.155743550031612,48.0,-0.062418387084985365,-0.1860547434403903,0.936624687625312,-0.18609960972343864,-0.1336547105551003
5,2018-10-03,2018-12-24,2019-11-21,82,414,-0.19627022541833672,0.8247603090439823,0.8247603090439823,0.1443598031435848,0.20865476620560958,0.01546283030337272,20.424210381089594,30.110000610351562,-0.07126389165764789,-0.17160010932975334,1.008071943664848,-0.1612481483733631,0.04270702679179117
