regime,start,end,baseline_mean_ic,baseline_ic_sharpe,best_mean_ic,best_ic_sharpe,n
full 2008-2026,2008-01-01,2026-04-24,-0.012284928787733391,-1.3831365488326686,-0.013424406371878762,-1.459103679020395,238
train 2008-2018,2008-01-01,2018-12-31,-0.014538366706931502,-1.2464847531367573,-0.020816067064043663,-1.7994547402774965,144
holdout 2019-2026,2019-01-01,2026-04-24,-0.008832853677472453,-0.6435803402489008,-0.002101011268987848,-0.1389344233117059,94
2008 financial crisis,2008-01-01,2009-12-31,-0.005948599771860695,-0.16814783500473676,-0.00846767950814587,-0.2903663043825986,26
2015-16 vol stress,2015-06-01,2016-12-31,-0.05711193537669768,-2.2365739415686248,-0.06998193963402802,-2.733940977539594,21
2020 COVID,2020-01-01,2020-12-31,0.005733901899639255,0.1127017043953657,0.02170171163235357,0.39419602999902253,13
2022 bear market,2022-01-01,2022-12-31,-0.014016685792938372,-0.35089488312082917,-0.012808090489718888,-0.28560306947994113,13
recovery 2023-2026,2023-01-01,2026-04-24,0.00039870255293180767,0.022304859614140683,0.009028331235488324,0.43704417762648906,42
