date,variant,is_control_date,gross_before,gross_after,beta_before,beta_after,scale,spy_overlay,projection_reason,gross_violation_before,gross_violation_after,beta_violation_before,beta_violation_after,gate_violation_after
2008-01-07,b2_every_2_no_projection,True,0.9479787713148833,0.9479787713148833,0.41119824899340723,0.41119824899340723,1.0,0.0,none,False,False,True,True,True
2008-03-03,b2_every_2_no_projection,True,0.8878346933668968,0.8878346933668968,0.41656033478287685,0.41656033478287685,1.0,0.0,none,False,False,True,True,True
2008-06-23,b2_every_2_no_projection,True,0.5983256334145126,0.5983256334145126,0.4020713196743406,0.4020713196743406,1.0,0.0,none,False,False,True,True,True
2008-08-18,b2_every_2_no_projection,True,1.3390533759516845,1.3390533759516845,0.9200208770975485,0.9200208770975485,1.0,0.0,none,False,False,True,True,True
2008-10-13,b2_every_2_no_projection,True,0.9764419946794965,0.9764419946794965,0.43994561219578576,0.43994561219578576,1.0,0.0,none,False,False,True,True,True
2008-12-08,b2_every_2_no_projection,True,0.7417649451464927,0.7417649451464927,0.3452307925967733,0.3452307925967733,1.0,0.0,none,False,False,True,True,True
2009-02-02,b2_every_2_no_projection,True,0.9635088842458116,0.9635088842458116,0.453752780820169,0.453752780820169,1.0,0.0,none,False,False,True,True,True
2009-05-26,b2_every_2_no_projection,True,0.6673737265563934,0.6673737265563934,0.9002486476829891,0.9002486476829891,1.0,0.0,none,False,False,True,True,True
2009-07-20,b2_every_2_no_projection,True,0.7387234798248536,0.7387234798248536,1.005757523271396,1.005757523271396,1.0,0.0,none,False,False,True,True,True
2009-09-14,b2_every_2_no_projection,True,1.0563329938257369,1.0563329938257369,0.8510842257566383,0.8510842257566383,1.0,0.0,none,False,False,True,True,True
2009-11-09,b2_every_2_no_projection,True,1.0699593292441578,1.0699593292441578,0.9646282218070229,0.9646282218070229,1.0,0.0,none,False,False,True,True,True
2010-01-04,b2_every_2_no_projection,True,0.7838259855351632,0.7838259855351632,1.0510280048433798,1.0510280048433798,1.0,0.0,none,False,False,True,True,True
2010-03-01,b2_every_2_no_projection,True,1.316019975813378,1.316019975813378,0.9492511487334074,0.9492511487334074,1.0,0.0,none,False,False,True,True,True
2010-04-26,b2_every_2_no_projection,True,1.298738346435366,1.298738346435366,1.087929309182558,1.087929309182558,1.0,0.0,none,False,False,True,True,True
2010-06-21,b2_every_2_no_projection,True,1.0428039221104344,1.0428039221104344,0.37242184891379354,0.37242184891379354,1.0,0.0,none,False,False,True,True,True
2010-08-16,b2_every_2_no_projection,True,0.8804193545854923,0.8804193545854923,0.3764589886426328,0.3764589886426328,1.0,0.0,none,False,False,True,True,True
2010-12-06,b2_every_2_no_projection,True,0.8817608522804523,0.8817608522804523,1.0014492462150006,1.0014492462150006,1.0,0.0,none,False,False,True,True,True
2011-01-31,b2_every_2_no_projection,True,0.9558449526388206,0.9558449526388206,1.0549691306078377,1.0549691306078377,1.0,0.0,none,False,False,True,True,True
2011-03-28,b2_every_2_no_projection,True,1.0561471846464126,1.0561471846464126,1.0323175555929875,1.0323175555929875,1.0,0.0,none,False,False,True,True,True
2011-05-23,b2_every_2_no_projection,True,1.2922056992940052,1.2922056992940052,0.8048934995980714,0.8048934995980714,1.0,0.0,none,False,False,True,True,True
2011-07-18,b2_every_2_no_projection,True,1.3102553069622354,1.3102553069622354,0.8137268191313373,0.8137268191313373,1.0,0.0,none,False,False,True,True,True
2011-09-12,b2_every_2_no_projection,True,0.8531237962162747,0.8531237962162747,0.24788031171609934,0.24788031171609934,1.0,0.0,none,False,False,True,True,True
2011-11-07,b2_every_2_no_projection,True,1.2177574817686359,1.2177574817686359,0.4629699918344925,0.4629699918344925,1.0,0.0,none,False,False,True,True,True
2012-02-27,b2_every_2_no_projection,True,1.2820311525275296,1.2820311525275296,0.8702334046942783,0.8702334046942783,1.0,0.0,none,False,False,True,True,True
2012-08-13,b2_every_2_no_projection,True,1.2511700096886507,1.2511700096886507,0.8893867803304861,0.8893867803304861,1.0,0.0,none,False,False,True,True,True
2012-10-08,b2_every_2_no_projection,True,1.2559353557299275,1.2559353557299275,1.095968815616213,1.095968815616213,1.0,0.0,none,False,False,True,True,True
2012-12-03,b2_every_2_no_projection,True,0.9520264114675622,0.9520264114675622,1.1114355512888225,1.1114355512888225,1.0,0.0,none,False,False,True,True,True
2013-01-28,b2_every_2_no_projection,True,0.9075443399685257,0.9075443399685257,1.1419132787067856,1.1419132787067856,1.0,0.0,none,False,False,True,True,True
2013-03-25,b2_every_2_no_projection,True,1.257692283230988,1.257692283230988,0.8591935470630174,0.8591935470630174,1.0,0.0,none,False,False,True,True,True
2013-05-20,b2_every_2_no_projection,True,1.2554464912635075,1.2554464912635075,1.1289156823311084,1.1289156823311084,1.0,0.0,none,False,False,True,True,True
2013-07-15,b2_every_2_no_projection,True,1.2392510996039172,1.2392510996039172,1.0762703181775601,1.0762703181775601,1.0,0.0,none,False,False,True,True,True
2013-09-09,b2_every_2_no_projection,True,0.9132849594855402,0.9132849594855402,1.2253108019841976,1.2253108019841976,1.0,0.0,none,False,False,True,True,True
2013-11-04,b2_every_2_no_projection,True,0.9695388837318455,0.9695388837318455,1.2644360237896022,1.2644360237896022,1.0,0.0,none,False,False,True,True,True
2013-12-30,b2_every_2_no_projection,True,0.978244008441826,0.978244008441826,1.223745034438117,1.223745034438117,1.0,0.0,none,False,False,True,True,True
2014-02-24,b2_every_2_no_projection,True,1.2657215108728088,1.2657215108728088,0.8967639275566734,0.8967639275566734,1.0,0.0,none,False,False,True,True,True
2014-04-21,b2_every_2_no_projection,True,1.2664235096355607,1.2664235096355607,0.9981606410311982,0.9981606410311982,1.0,0.0,none,False,False,True,True,True
2014-06-16,b2_every_2_no_projection,True,1.2604541724953098,1.2604541724953098,1.2625752816557452,1.2625752816557452,1.0,0.0,none,False,False,True,True,True
2014-10-06,b2_every_2_no_projection,True,1.3109961630494715,1.3109961630494715,0.8210729641933121,0.8210729641933121,1.0,0.0,none,False,False,True,True,True
2014-12-01,b2_every_2_no_projection,True,1.2974271061236053,1.2974271061236053,0.9431591226146732,0.9431591226146732,1.0,0.0,none,False,False,True,True,True
2015-05-18,b2_every_2_no_projection,True,1.2663690476190474,1.2663690476190474,0.9035962213826116,0.9035962213826116,1.0,0.0,none,False,False,True,True,True
2015-07-13,b2_every_2_no_projection,True,1.1523077635425354,1.1523077635425354,1.0212965503666669,1.0212965503666669,1.0,0.0,none,False,False,True,True,True
2015-09-08,b2_every_2_no_projection,True,0.7348517638886486,0.7348517638886486,0.29646858495861883,0.29646858495861883,1.0,0.0,none,False,False,True,True,True
2015-12-28,b2_every_2_no_projection,True,1.25498546722819,1.25498546722819,0.8220064993021509,0.8220064993021509,1.0,0.0,none,False,False,True,True,True
2016-04-18,b2_every_2_no_projection,True,1.2384949433237566,1.2384949433237566,1.0456876905124006,1.0456876905124006,1.0,0.0,none,False,False,True,True,True
2016-08-08,b2_every_2_no_projection,True,1.2505953088858233,1.2505953088858233,0.9806807169707015,0.9806807169707015,1.0,0.0,none,False,False,True,True,True
2016-10-03,b2_every_2_no_projection,True,1.271283174621867,1.271283174621867,1.0650356559406648,1.0650356559406648,1.0,0.0,none,False,False,True,True,True
2016-11-28,b2_every_2_no_projection,True,1.265012974477225,1.265012974477225,1.087209130877871,1.087209130877871,1.0,0.0,none,False,False,True,True,True
2017-01-23,b2_every_2_no_projection,True,1.2545145660438233,1.2545145660438233,1.338241023507264,1.338241023507264,1.0,0.0,none,False,False,True,True,True
2017-03-20,b2_every_2_no_projection,True,1.2549660975911638,1.2549660975911638,1.358385070113016,1.358385070113016,1.0,0.0,none,False,False,True,True,True
2017-05-15,b2_every_2_no_projection,True,1.2510416666666668,1.2510416666666668,1.3763744581484438,1.3763744581484438,1.0,0.0,none,False,False,True,True,True
2017-07-10,b2_every_2_no_projection,True,1.2605245181752003,1.2605245181752003,1.2621486855412452,1.2621486855412452,1.0,0.0,none,False,False,True,True,True
2017-09-05,b2_every_2_no_projection,True,1.2760071630138368,1.2760071630138368,1.1452629566261463,1.1452629566261463,1.0,0.0,none,False,False,True,True,True
2017-10-30,b2_every_2_no_projection,True,1.2621663706002124,1.2621663706002124,0.9441616480258046,0.9441616480258046,1.0,0.0,none,False,False,True,True,True
2017-12-26,b2_every_2_no_projection,True,1.2625485983794733,1.2625485983794733,1.2486949136418062,1.2486949136418062,1.0,0.0,none,False,False,True,True,True
2018-08-06,b2_every_2_no_projection,True,1.275,1.275,0.8932292983129069,0.8932292983129069,1.0,0.0,none,False,False,True,True,True
2018-10-01,b2_every_2_no_projection,True,1.2869091019205627,1.2869091019205627,1.2107862415301451,1.2107862415301451,1.0,0.0,none,False,False,True,True,True
2019-01-22,b2_every_2_no_projection,True,1.3413184870832338,1.3413184870832338,0.4682435036471929,0.4682435036471929,1.0,0.0,none,False,False,True,True,True
2019-07-08,b2_every_2_no_projection,True,1.2904958553984711,1.2904958553984711,0.8907977062182566,0.8907977062182566,1.0,0.0,none,False,False,True,True,True
2019-12-23,b2_every_2_no_projection,True,1.26391369047619,1.26391369047619,1.1077496830964872,1.1077496830964872,1.0,0.0,none,False,False,True,True,True
2020-02-18,b2_every_2_no_projection,True,1.286656190873407,1.286656190873407,0.8725611749779798,0.8725611749779798,1.0,0.0,none,False,False,True,True,True
2020-04-13,b2_every_2_no_projection,True,1.020755873745374,1.020755873745374,0.4472699704484716,0.4472699704484716,1.0,0.0,none,False,False,True,True,True
2020-08-03,b2_every_2_no_projection,True,1.173132023008725,1.173132023008725,1.1039389512943147,1.1039389512943147,1.0,0.0,none,False,False,True,True,True
2020-11-23,b2_every_2_no_projection,True,0.8070633103460707,0.8070633103460707,0.8520563563029491,0.8520563563029491,1.0,0.0,none,False,False,True,True,True
2021-01-19,b2_every_2_no_projection,True,0.7910686535246068,0.7910686535246068,1.2813194128930152,1.2813194128930152,1.0,0.0,none,False,False,True,True,True
2021-03-15,b2_every_2_no_projection,True,0.8114229994309367,0.8114229994309367,1.1932971259555816,1.1932971259555816,1.0,0.0,none,False,False,True,True,True
2021-05-10,b2_every_2_no_projection,True,0.8545996250826537,0.8545996250826537,1.4220350075614916,1.4220350075614916,1.0,0.0,none,False,False,True,True,True
2021-07-06,b2_every_2_no_projection,True,1.2708422703718505,1.2708422703718505,1.0227967291055118,1.0227967291055118,1.0,0.0,none,False,False,True,True,True
2021-08-30,b2_every_2_no_projection,True,1.267261904761904,1.267261904761904,1.125927832911927,1.125927832911927,1.0,0.0,none,False,False,True,True,True
2021-10-25,b2_every_2_no_projection,True,1.260565476190476,1.260565476190476,0.8781205582957723,0.8781205582957723,1.0,0.0,none,False,False,True,True,True
2021-12-20,b2_every_2_no_projection,True,1.2991875696536352,1.2991875696536352,0.8037752107292426,0.8037752107292426,1.0,0.0,none,False,False,True,True,True
2022-09-26,b2_every_2_no_projection,True,1.0550331214506135,1.0550331214506135,0.3069913902895335,0.3069913902895335,1.0,0.0,none,False,False,True,True,True
2022-11-21,b2_every_2_no_projection,True,0.8800548775100833,0.8800548775100833,0.44456903188224395,0.44456903188224395,1.0,0.0,none,False,False,True,True,True
2023-01-17,b2_every_2_no_projection,True,0.7889578058826603,0.7889578058826603,0.9726478828642668,0.9726478828642668,1.0,0.0,none,False,False,True,True,True
2023-05-08,b2_every_2_no_projection,True,1.0198863517066932,1.0198863517066932,0.975596080432092,0.975596080432092,1.0,0.0,none,False,False,True,True,True
2023-07-03,b2_every_2_no_projection,True,1.26324436126678,1.26324436126678,1.246094058634158,1.246094058634158,1.0,0.0,none,False,False,True,True,True
2023-08-28,b2_every_2_no_projection,True,1.2693022473949613,1.2693022473949613,1.3776800450472235,1.3776800450472235,1.0,0.0,none,False,False,True,True,True
2023-12-18,b2_every_2_no_projection,True,1.2510416666666668,1.2510416666666668,1.2929257205485356,1.2929257205485356,1.0,0.0,none,False,False,True,True,True
2024-02-12,b2_every_2_no_projection,True,1.2629817622241752,1.2629817622241752,1.2842131031333202,1.2842131031333202,1.0,0.0,none,False,False,True,True,True
2024-04-08,b2_every_2_no_projection,True,1.2756384217446728,1.2756384217446728,1.0898895618580304,1.0898895618580304,1.0,0.0,none,False,False,True,True,True
