model,feature_count,mean_ic,ic_sharpe,sign_stability,n
simple_mean_rank,14,0.03455790841921517,1.85594887340971,0.5957446808510638,94
vol_score_rank,4,0.04576750111428966,1.6681513598797921,0.5212765957446809,94
lgbm_ranker,4,0.025750930454185108,1.6595048574827895,0.6063829787234043,94
ridge_regressor,4,0.03390295523367511,1.5102941351451302,0.574468085106383,94
lgbm_regressor,4,0.021386390737406176,1.1960337428833883,0.5319148936170213,94
