regime,B.5 locked Sharpe,B.5 locked MaxDD,RL no-op Sharpe,RL no-op MaxDD,Trained RL Sharpe,Trained RL MaxDD
2019 bull market,2.6490983405484223,-0.05700638747711795,2.878304400641958,-0.056755455545754785,2.8228468251444414,-0.04951769377831872
2020 COVID crash,0.43531082627134776,-0.3298129817591118,0.44137940295366707,-0.32981298175911167,0.8116412449109088,-0.24902222187621526
2021 recovery,2.4201433495965192,-0.0657093036007651,2.436110216018947,-0.06570930360076532,2.009861868103972,-0.05937756473010758
2022 bear market,-0.7278393653388834,-0.17112401201607153,-0.7216072813591072,-0.17037072309958767,-0.7213631516794828,-0.14484653696945204
2023–2026 recovery,2.4733190628164508,-0.10553672426054506,2.3783135193461162,-0.10518019376778376,2.2739887319260212,-0.09704445936548833
