universe,vol_sleeve,other_sleeve,other_type,rolling_corr_min,rolling_corr_median,rolling_corr_max
sp100_sample,vol_top_10,blend_vol_top_20_trend_3m_6m_long_short_70_30,blend,0.8562296670839631,0.9448077887680556,0.9807603421705285
sp100_sample,vol_top_10,blend_vol_top_20_trend_3m_6m_long_short_60_40,blend,0.8007532460411233,0.9186571702485464,0.9752836170854754
sp100_sample,vol_top_20,trend_3m_long_cash,trend,-0.47379816726206553,0.26436957463854144,0.7022007656812111
sp100_sample,vol_top_20,trend_6m_long_cash,trend,-0.511028420287017,0.3217914277496994,0.7827557268188643
sp100_sample,vol_top_20,trend_3m_6m_long_cash,trend,-0.5189519444633308,0.2747032333686811,0.7501868850907064
sp100_sample,vol_top_20,trend_3m_long_short,trend,-0.6463394155291592,0.09761817834689901,0.6675187191924377
sp100_sample,vol_top_20,trend_6m_long_short,trend,-0.6463394155291592,0.16664077358477697,0.7302624395765206
sp100_sample,vol_top_20,trend_3m_6m_long_short,trend,-0.6506972529706423,0.15644478013374252,0.7091341088864166
sp100_sample,vol_top_20,blend_vol_top_10_trend_3m_long_cash_80_20,blend,0.9215051718426399,0.9640093484173802,0.9871958586950764
sp100_sample,vol_top_20,blend_vol_top_10_trend_3m_long_cash_70_30,blend,0.9150761052496091,0.9600551050312709,0.9860947182244071
sp100_sample,vol_top_20,blend_vol_top_10_trend_3m_long_cash_60_40,blend,0.9004960438193137,0.9478389503974429,0.9828460687214797
sp100_sample,vol_top_20,blend_vol_top_10_trend_6m_long_cash_80_20,blend,0.9194065615563586,0.9654257024825648,0.987659542939815
sp100_sample,vol_top_20,blend_vol_top_10_trend_6m_long_cash_70_30,blend,0.9123515458305627,0.9623606899241763,0.9870097112792421
sp100_sample,vol_top_20,blend_vol_top_10_trend_6m_long_cash_60_40,blend,0.8975610692677503,0.9540101482578103,0.9844900006303912
sp100_sample,vol_top_20,blend_vol_top_10_trend_3m_6m_long_cash_80_20,blend,0.916716205514667,0.9641187747643981,0.9876754499508569
sp100_sample,vol_top_20,blend_vol_top_10_trend_3m_6m_long_cash_70_30,blend,0.9065846186689488,0.9603142817214305,0.9871176240049656
sp100_sample,vol_top_20,blend_vol_top_10_trend_3m_6m_long_cash_60_40,blend,0.8871478189668853,0.9497110310207835,0.9848108198535479
sp100_sample,vol_top_20,blend_vol_top_10_trend_3m_long_short_80_20,blend,0.9160723787756978,0.9615510879368647,0.9863821628235658
sp100_sample,vol_top_20,blend_vol_top_10_trend_3m_long_short_70_30,blend,0.9013974812194266,0.9552864563529495,0.984238508446449
sp100_sample,vol_top_20,blend_vol_top_10_trend_3m_long_short_60_40,blend,0.8736116182227611,0.9407251684889666,0.9790380077188564
sp100_sample,vol_top_20,blend_vol_top_10_trend_6m_long_short_80_20,blend,0.9181767801204668,0.9636715846800188,0.9873374007463266
