signal,regime,start,end,cagr,sharpe,max_dd,n_days
simple_mean_rank,2008 financial crisis,2008-01-01,2009-12-31,-0.05606911081490751,-0.26957879501420307,-0.3394031715242626,505
simple_mean_rank,2015-16 vol stress,2015-06-01,2016-12-31,0.0987582502027704,0.7611990676329711,-0.11614064110882028,402
simple_mean_rank,2020 COVID,2020-01-01,2020-12-31,0.28200927594324177,1.0891047849891107,-0.22680536749156865,253
simple_mean_rank,2022 bear market,2022-01-01,2022-12-31,-0.040426015837435214,-0.25342822714776986,-0.11742204210372931,251
simple_mean_rank,2023-2026 recovery,2023-01-01,2026-04-24,0.3113567547768319,2.338787229720283,-0.1286024146034782,830
simple_mean_rank,full 2008-2026,2008-01-01,2026-04-24,0.15654412087481062,1.0498409775676987,-0.3394031715242626,4607
vol_score,2008 financial crisis,2008-01-01,2009-12-31,0.10985995875270449,0.5416649844112701,-0.18007793223315194,505
vol_score,2015-16 vol stress,2015-06-01,2016-12-31,0.07632823657351184,0.5674993722165597,-0.16265593218452878,402
vol_score,2020 COVID,2020-01-01,2020-12-31,0.12400124933525491,0.43531082627134776,-0.3298129817591118,253
vol_score,2022 bear market,2022-01-01,2022-12-31,-0.1374756614926831,-0.7278393653388834,-0.17112401201607153,251
vol_score,2023-2026 recovery,2023-01-01,2026-04-24,0.3093921250668128,2.4733190628164508,-0.10553672426054506,830
vol_score,full 2008-2026,2008-01-01,2026-04-24,0.16040758734033855,1.0779837699690045,-0.32981298175911145,4607
