universe,sleeve,sleeve_type,vol_sleeve,trend_sleeve,vol_weight,trend_weight,cagr,sharpe,max_dd,volatility
sp100_sample,blend_vol_top_20_trend_3m_long_short_80_20,blend,vol_top_20,trend_3m_long_short,0.8,0.2,0.1865769606788199,0.9522014051726202,-0.3967412332247542,0.19594274873496562
sp100_sample,blend_vol_top_20_trend_3m_long_short_70_30,blend,vol_top_20,trend_3m_long_short,0.7,0.3,0.17435778682391612,1.013794287231196,-0.34457020376822467,0.17198537121382867
sp100_sample,blend_vol_top_20_trend_3m_long_short_60_40,blend,vol_top_20,trend_3m_long_short,0.6,0.4,0.1614136912673978,1.08270694448122,-0.29001598804952344,0.14908345429033829
sp100_sample,blend_vol_top_20_trend_6m_long_short_80_20,blend,vol_top_20,trend_6m_long_short,0.8,0.2,0.18355886600268345,0.931681210088257,-0.39508871138855683,0.1970189631551066
sp100_sample,blend_vol_top_20_trend_6m_long_short_70_30,blend,vol_top_20,trend_6m_long_short,0.7,0.3,0.16993710039820353,0.9791814710582006,-0.3415248236391707,0.17355015941483518
sp100_sample,blend_vol_top_20_trend_6m_long_short_60_40,blend,vol_top_20,trend_6m_long_short,0.6,0.4,0.15566255673939566,1.0304058539827032,-0.2849368121769379,0.15106916962644573
sp100_sample,blend_vol_top_20_trend_3m_6m_long_short_80_20,blend,vol_top_20,trend_3m_6m_long_short,0.8,0.2,0.1892039024302954,0.9630554892987537,-0.39565135186495615,0.19646209853189633
sp100_sample,blend_vol_top_20_trend_3m_6m_long_short_70_30,blend,vol_top_20,trend_3m_6m_long_short,0.7,0.3,0.17828705460571448,1.0320860886223668,-0.34256438888259344,0.1727443636447933
sp100_sample,blend_vol_top_20_trend_3m_6m_long_short_60_40,blend,vol_top_20,trend_3m_6m_long_short,0.6,0.4,0.16663357906306042,1.110495467944597,-0.28717519305107,0.1500533625512948
sp500_dynamic,blend_vol_top_10_trend_3m_long_cash_80_20,blend,vol_top_10,trend_3m_long_cash,0.8,0.2,0.26522926521155865,0.6808711496843742,-0.6659455351193386,0.3895439913036538
sp500_dynamic,blend_vol_top_10_trend_3m_long_cash_70_30,blend,vol_top_10,trend_3m_long_cash,0.7,0.3,0.2555962810481176,0.7469878178180769,-0.5973760357285163,0.34216927632729627
sp500_dynamic,blend_vol_top_10_trend_3m_long_cash_60_40,blend,vol_top_10,trend_3m_long_cash,0.6,0.4,0.2430493230923758,0.8229574360582447,-0.5200677478652994,0.2953364444417925
sp500_dynamic,blend_vol_top_10_trend_6m_long_cash_80_20,blend,vol_top_10,trend_6m_long_cash,0.8,0.2,0.26279098626080555,0.6738869710176623,-0.6651367524219056,0.3899630020505589
sp500_dynamic,blend_vol_top_10_trend_6m_long_cash_70_30,blend,vol_top_10,trend_6m_long_cash,0.7,0.3,0.2520096206379372,0.73514910091063,-0.5960594689492167,0.3428006921667626
sp500_dynamic,blend_vol_top_10_trend_6m_long_cash_60_40,blend,vol_top_10,trend_6m_long_cash,0.6,0.4,0.2383704062542602,0.804810896162171,-0.5182069414155019,0.2961818824657514
sp500_dynamic,blend_vol_top_10_trend_3m_6m_long_cash_80_20,blend,vol_top_10,trend_3m_6m_long_cash,0.8,0.2,0.2679017961186416,0.6877963834803354,-0.6651148986474343,0.3895074218957435
sp500_dynamic,blend_vol_top_10_trend_3m_6m_long_cash_70_30,blend,vol_top_10,trend_3m_6m_long_cash,0.7,0.3,0.2595699686408739,0.7586954159563621,-0.5960580178121011,0.342126712751621
sp500_dynamic,blend_vol_top_10_trend_3m_6m_long_cash_60_40,blend,vol_top_10,trend_3m_6m_long_cash,0.6,0.4,0.2482882545921712,0.8407960250983572,-0.518264581121074,0.2953014133994344
sp500_dynamic,blend_vol_top_10_trend_3m_long_short_80_20,blend,vol_top_10,trend_3m_long_short,0.8,0.2,0.2564799824686872,0.662481534605987,-0.6638751603317414,0.3871503869481124
sp500_dynamic,blend_vol_top_10_trend_3m_long_short_70_30,blend,vol_top_10,trend_3m_long_short,0.7,0.3,0.24238467976961053,0.7159067750285015,-0.5938852558904182,0.33857017173773885
sp500_dynamic,blend_vol_top_10_trend_3m_long_short_60_40,blend,vol_top_10,trend_3m_long_short,0.6,0.4,0.2253644390832492,0.7756980651604342,-0.5149218044990647,0.2905311347355728
sp500_dynamic,blend_vol_top_10_trend_6m_long_short_80_20,blend,vol_top_10,trend_6m_long_short,0.8,0.2,0.2532429689732483,0.6531022646316051,-0.6627949787043128,0.38775392872982123
sp500_dynamic,blend_vol_top_10_trend_6m_long_short_70_30,blend,vol_top_10,trend_6m_long_short,0.7,0.3,0.23765695747357585,0.7001147418749354,-0.5920450224905368,0.3394542969301303
sp500_dynamic,blend_vol_top_10_trend_6m_long_short_60_40,blend,vol_top_10,trend_6m_long_short,0.6,0.4,0.21924184998425478,0.751677164065441,-0.5121786326542329,0.2916702282113862
sp500_dynamic,blend_vol_top_10_trend_3m_6m_long_short_80_20,blend,vol_top_10,trend_3m_6m_long_short,0.8,0.2,0.2592823557180637,0.6693573965136791,-0.6626710593224077,0.38736011145693666
sp500_dynamic,blend_vol_top_10_trend_3m_6m_long_short_70_30,blend,vol_top_10,trend_3m_6m_long_short,0.7,0.3,0.24656898003003547,0.7276077057247923,-0.591877826782305,0.3388762627031562
sp500_dynamic,blend_vol_top_10_trend_3m_6m_long_short_60_40,blend,vol_top_10,trend_3m_6m_long_short,0.6,0.4,0.23090335294867348,0.7936911960441096,-0.5120029344540062,0.2909234146725258
sp500_dynamic,blend_vol_top_20_trend_3m_long_cash_80_20,blend,vol_top_20,trend_3m_long_cash,0.8,0.2,0.2623213562627398,0.7829349049171089,-0.5440107075852939,0.33504874366344967
sp500_dynamic,blend_vol_top_20_trend_3m_long_cash_70_30,blend,vol_top_20,trend_3m_long_cash,0.7,0.3,0.2503579949320629,0.8493011136419748,-0.4992684144001046,0.29478119233645794
sp500_dynamic,blend_vol_top_20_trend_3m_long_cash_60_40,blend,vol_top_20,trend_3m_long_cash,0.6,0.4,0.23630561282445584,0.9261903080826626,-0.45088956599916485,0.25513721182597987
