step_label,train_sharpe_approx,val_sharpe,best_val_sharpe,patience_counter
ep=1,,1.0388719328347344,-inf,0
ep=2,,1.042028252299658,1.0388719328347344,0
ep=3,,1.0378798839755952,1.042028252299658,0
ep=4,,1.0161367526918361,1.042028252299658,1
ep=5,,1.0280869239068569,1.042028252299658,2
ep=6,,1.038639748313141,1.042028252299658,3
ep=7,,1.0456293843698987,1.042028252299658,4
ep=8,,1.0276515621480844,1.0456293843698987,0
ep=9,,1.0328542199982689,1.0456293843698987,1
ep=10,,1.0336371098913766,1.0456293843698987,2
ep=11,,1.0486548544687515,1.0456293843698987,3
ep=12,,1.049107852686728,1.0486548544687515,0
ep=13,,1.0745543354625398,1.049107852686728,0
ep=14,,1.0375934309277612,1.0745543354625398,0
ep=15,,1.0177989909293488,1.0745543354625398,1
ep=16,,1.0033547811842352,1.0745543354625398,2
ep=17,,1.0065834953214943,1.0745543354625398,3
ep=18,,1.0013518870449547,1.0745543354625398,4
ep=19,,0.9915802798865562,1.0745543354625398,5
ep=20,,0.9987032600297006,1.0745543354625398,6
ep=21,,1.0018262835977585,1.0745543354625398,7
ep=22,,0.976151927398339,1.0745543354625398,8
ep=23,,0.9943874847937253,1.0745543354625398,9
ep=24,,0.9454948419339384,1.0745543354625398,10
ep=25,,0.9571042132673399,1.0745543354625398,11
ep=26,,0.9210142139693034,1.0745543354625398,12
ep=27,,0.9536497403279444,1.0745543354625398,13
ep=28,,0.927928792142614,1.0745543354625398,14
ep=29,,0.9309971970508496,1.0745543354625398,15
ep=30,,0.934435951653017,1.0745543354625398,16
ep=31,,0.9748324639839953,1.0745543354625398,17
ep=32,,0.9342064392165594,1.0745543354625398,18
ep=33,,0.8976311545368577,1.0745543354625398,19
ep=34,,0.849448723664942,1.0745543354625398,20
ep=35,,0.7755656506996226,1.0745543354625398,21
ep=36,,0.8130956938798207,1.0745543354625398,22
ep=37,,0.8106367434477696,1.0745543354625398,23
ep=38,,0.9004173278491039,1.0745543354625398,24
ep=39,,0.9421047224642786,1.0745543354625398,25
ep=40,,0.8874912697600408,1.0745543354625398,26
ep=41,,0.8708575759844706,1.0745543354625398,27
ep=42,,0.8699636457062135,1.0745543354625398,28
ep=43,,0.9079540129153648,1.0745543354625398,29
ep=44,,0.9283574239739091,1.0745543354625398,30
ep=45,,0.8794899981640074,1.0745543354625398,31
ep=46,,0.8602047638893892,1.0745543354625398,32
ep=47,,0.8576255686736807,1.0745543354625398,33
ep=48,,0.9317178708554291,1.0745543354625398,34
ep=49,,0.9904423923707525,1.0745543354625398,35
ep=50,,1.0152024440203833,1.0745543354625398,36
ep=51,,1.0482905838463772,1.0745543354625398,37
ep=52,,1.0558983820126673,1.0745543354625398,38
ep=53,,1.0209740040611492,1.0745543354625398,39
ep=54,,0.9905061947833198,1.0745543354625398,40
ep=55,,0.9725097279373383,1.0745543354625398,41
ep=56,,0.9837331795311646,1.0745543354625398,42
ep=57,,0.9797759762508622,1.0745543354625398,43
ep=58,,0.9660712120841435,1.0745543354625398,44
ep=59,,0.9675427095110885,1.0745543354625398,45
ep=60,,0.9409550635761802,1.0745543354625398,46
ep=61,,0.9602091847118382,1.0745543354625398,47
ep=62,,0.946257339959498,1.0745543354625398,48
ep=63,,0.9643059969729565,1.0745543354625398,49
