variant,cagr,sharpe,max_dd,turnover_sum,cost_bps
B.5 baseline (vol_scores),0.1604,1.078,-0.3298,84.12,10.0
C.1 best (LGBM tuned),0.14776246604827437,1.0290990963431261,-0.29682341609416907,119.28069233554208,10.0
C.1 best (LGBM) 10 bps,0.14776246604827437,1.0290990963431261,-0.29682341609416907,119.28069233554208,10.0
C.1 best (LGBM) 25 bps,0.13655934946918036,0.9503701494440644,-0.29682341609416885,119.28069233554208,25.0
C.1 best (LGBM) 50 bps,0.11808760577378763,0.819350694223617,-0.29682341609416907,119.28069233554208,50.0
