policy,sharpe,cagr,max_dd,avg_equity_frac,sharpe_median,sharpe_p75
B.5 locked,1.2700663337917146,0.20689367461730668,-0.3298129817591118,,,
RL no-op,1.0578425187131606,0.17946435819952744,-0.29281704129174324,1.0,,
Rule-based controller,1.0834536184884895,0.18247667108687504,-0.3007724121696437,0.6958333408925683,,
Trained Phase E RL,1.295667846462091,0.17794549527636705,-0.24476707898072758,0.4062603242262061,,
Random bounded (50 seeds),1.2212144639042208,0.18758429958432213,-0.2631863661019458,,1.211995626231436,1.2795956609259176
