regime,start,end,cagr,sharpe,max_dd,n_days
2008 financial crisis,2008-01-01,2009-12-31,0.10985995875270449,0.5416649844112698,-0.18007793223315194,505
2015–16 vol stress,2015-06-01,2016-12-31,0.07632823657351184,0.5674993722165598,-0.1626559321845289,402
2020 COVID,2020-01-01,2020-12-31,0.12400124933525491,0.43531082627134765,-0.3298129817591119,253
2022 bear market,2022-01-01,2022-12-31,-0.1374756614926831,-0.7278393653388829,-0.17112401201607153,251
2023–2026 recovery,2023-01-01,2026-04-24,0.3093921250668128,2.4733190628164494,-0.10553672426054506,830
full 2008–2026,2008-01-01,2026-04-24,0.16040758734033855,1.0779837699690042,-0.32981298175911145,4607
