seed,sharpe,cagr,max_dd
0,1.2606213123187022,0.1848823498720582,-0.22237310873969374
1,1.2794603542483232,0.18534716042266974,-0.20511654893900144
2,1.1656540818898888,0.1664931676724528,-0.21018371456148266
3,1.077842075575477,0.17474515309840566,-0.3013093095251006
4,1.0327375481020562,0.1633200763394167,-0.3129310666063829
5,1.2787352216452599,0.19004898214461075,-0.22366084349778148
6,1.237986329804484,0.18655426882083037,-0.24942337092025146
7,1.3314019578603833,0.18742139809999703,-0.22580791989186733
8,1.2122115613748128,0.18389461488897796,-0.2434221642136627
9,1.1942789881947462,0.1774943279928154,-0.22629351607403125
10,1.1528975637269017,0.18405602496444007,-0.2947201122059303
11,1.555719336819781,0.22266159216493997,-0.2093765463795485
12,1.040712016952923,0.15139762972495951,-0.24187548068198272
13,1.2404618115496482,0.1859219045197078,-0.2377799934046697
14,1.1229137132823321,0.17913285678491375,-0.310022101787245
15,1.2456113122912649,0.1949507215623536,-0.2796254724749111
16,1.1864678660847943,0.16799885125118497,-0.2280132377040125
17,1.2344378102952376,0.18658441139741955,-0.25139731603795545
18,1.2958987532432167,0.20502119174437006,-0.28377280345286915
19,1.244498199382605,0.18791130595307282,-0.23061952419985077
20,1.1931337095386794,0.19225632694331996,-0.31090477202946554
21,1.0662031908189002,0.17036584650360775,-0.3098151545819091
22,1.2880193667493833,0.2028583290146746,-0.2975228868155756
23,1.3964625082883813,0.2108390880691311,-0.24948562226934734
24,1.3972493058633324,0.199153440498248,-0.23332051712033663
25,1.5058274154095364,0.22341005497928035,-0.22292674532537204
26,1.2129005074377996,0.18133581610784355,-0.25407441153878285
27,1.145534715022931,0.17857746172173394,-0.29367362825623755
28,1.1915242245331847,0.1761891478883888,-0.27673690718120025
29,1.1369044166081066,0.17390817429434446,-0.2579852322971621
30,1.069205794061393,0.1726073017447507,-0.29652350288049156
31,1.3483509720286981,0.1903003792342013,-0.23820669984657306
32,1.1875442221707018,0.18518744464968928,-0.29306051938403554
33,1.1986890133778467,0.17828763520008373,-0.24467733618403098
34,1.1996698760343258,0.17837057700693504,-0.23248294328764596
35,1.1838557998862183,0.18405002215209398,-0.23078238363873516
36,1.1175407655462621,0.18018251053452006,-0.29360816596785067
37,1.1630141715266507,0.17578544649819317,-0.2534185533586596
38,1.158995472475848,0.1754291766811653,-0.2897054261945511
39,1.23899904980493,0.19037540571823408,-0.2829233207365678
40,1.3237432060796284,0.19900679058561077,-0.23285082514234923
41,1.255918391754536,0.19789810690758802,-0.2635281535241607
42,1.2966323100679158,0.19483217916328122,-0.22208362007823523
43,1.2329582485954114,0.19190944940415777,-0.2704933832624077
44,1.103595201802776,0.16797607942381343,-0.2955125167088277
45,1.2879247986659368,0.19584671980104096,-0.22719797258854124
46,1.1973623676958047,0.19125300911897858,-0.2930241372718324
47,1.3223677983272288,0.18631864162152323,-0.22152425042183344
48,0.979162196840686,0.14874925298964103,-0.28007895408219285
49,1.098704772493467,0.17030691390119523,-0.29444530560817184
