universe_path,universe,sleeve,base_vol_weight,base_trend_weight,stress_k,stress_variant,vix_weight,drawdown_weight,cost_bps,cagr,sharpe,max_dd,volatility,turnover_sum,avg_gross,max_gross,n_rebalances,passes_max_gross,passes_full_period_dd,passes_full_period_sharpe
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_60_40_k_20,0.6,0.4,0.2,vix_only,1.0,0.0,10.0,0.19262602135486961,1.540805157683483,-0.21457254825523486,0.12501646972967848,203.37808581132688,1.117113113122235,1.3000000000000003,4515,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_60_40_k_20,0.6,0.4,0.2,vix_only,1.0,0.0,25.0,0.17288905893402484,1.381529222015945,-0.21561127126583957,0.12514325153523928,203.37808581132688,1.117113113122235,1.3000000000000003,4515,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_60_40_k_20,0.6,0.4,0.2,vix_only,1.0,0.0,50.0,0.1407001069381506,1.1215241336855482,-0.21734082689522805,0.12545437294851824,203.37808581132688,1.117113113122235,1.3000000000000003,4515,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_60_40_k_30,0.6,0.4,0.3,vix_only,1.0,0.0,10.0,0.19901797627935558,1.7647156372272081,-0.18137902699966602,0.11277622982480089,265.60572099804153,1.1265035542939863,1.35,4515,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_60_40_k_30,0.6,0.4,0.3,vix_only,1.0,0.0,25.0,0.173170105525275,1.5331734144051201,-0.18261312230436388,0.11294880533293489,265.60572099804153,1.1265035542939863,1.35,4515,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_60_40_k_30,0.6,0.4,0.3,vix_only,1.0,0.0,50.0,0.13130092994099996,1.1581877381220218,-0.1847211489599292,0.11336757040262037,265.60572099804153,1.1265035542939863,1.35,4515,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_60_40_k_40,0.6,0.4,0.4,vix_only,1.0,0.0,10.0,0.19791129396127882,1.8768206228565114,-0.16395572751348775,0.10545029799388012,313.6080855910204,1.135160532291024,1.3750000000000002,3986,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_60_40_k_40,0.6,0.4,0.4,vix_only,1.0,0.0,25.0,0.16747915009327619,1.585362476198491,-0.16506635423998972,0.10564091973141126,313.6080855910204,1.135160532291024,1.3750000000000002,3986,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_60_40_k_40,0.6,0.4,0.4,vix_only,1.0,0.0,50.0,0.11844047880836395,1.1160226182303166,-0.16696574463707403,0.10612731039105254,313.6080855910204,1.135160532291024,1.3750000000000002,3986,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_50_50_k_20,0.5,0.5,0.2,vix_only,1.0,0.0,10.0,0.18282408723706234,1.67251456516097,-0.18096344561973055,0.10931090888255825,208.29463678225332,1.1418588606216904,1.35,4515,True,True,True
