universe_path,universe,sleeve,base_vol_weight,base_trend_weight,stress_k,stress_variant,vix_weight,drawdown_weight,cost_bps,cagr,sharpe,max_dd,volatility,turnover_sum,avg_gross,max_gross,n_rebalances,passes_max_gross,passes_full_period_dd,passes_full_period_sharpe
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_60_40_k_20,0.6,0.4,0.2,vix_only,1.0,0.0,10.0,0.19262602135486961,1.540805157683483,-0.21457254825523486,0.12501646972967848,203.37808581132688,1.117113113122235,1.3000000000000003,4515,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_60_40_k_30,0.6,0.4,0.3,vix_only,1.0,0.0,10.0,0.19901797627935558,1.7647156372272081,-0.18137902699966602,0.11277622982480089,265.60572099804153,1.1265035542939863,1.35,4515,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_60_40_k_40,0.6,0.4,0.4,vix_only,1.0,0.0,10.0,0.19791129396127882,1.8768206228565114,-0.16395572751348775,0.10545029799388012,313.6080855910204,1.135160532291024,1.3750000000000002,3986,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_50_50_k_20,0.5,0.5,0.2,vix_only,1.0,0.0,10.0,0.18282408723706234,1.67251456516097,-0.18096344561973055,0.10931090888255825,208.29463678225332,1.1418588606216904,1.35,4515,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_50_50_k_30,0.5,0.5,0.3,vix_only,1.0,0.0,10.0,0.18149233563539702,1.7700336159768233,-0.1636148833414378,0.1025360953584135,254.1127207058746,1.1503892104382347,1.3750000000000002,3829,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_50_50_k_40,0.5,0.5,0.4,vix_only,1.0,0.0,10.0,0.17417709348270827,1.7218923092833578,-0.16317988825227792,0.10115446392533098,262.0243156694095,1.1558963922095822,1.3750000000000002,3078,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_40_60_k_20,0.4,0.6,0.2,vix_only,1.0,0.0,10.0,0.1654226888120487,1.6488024128260244,-0.1632739794079513,0.10032899486635061,193.78262877494043,1.1654715160386826,1.3750000000000002,3546,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_40_60_k_30,0.4,0.6,0.3,vix_only,1.0,0.0,10.0,0.16052093725027472,1.6117347888965792,-0.1631217717086465,0.09959513088389069,194.89061556431307,1.1698297930907369,1.3750000000000002,2604,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_40_60_k_40,0.4,0.6,0.4,vix_only,1.0,0.0,10.0,0.15775750415831857,1.5882265579404748,-0.16312177170864672,0.09932934528112278,190.0021756161966,1.1723263875024947,1.3750000000000002,2131,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_drawdown_only_60_40_k_20,0.6,0.4,0.2,drawdown_only,0.0,1.0,10.0,0.18664527940945974,1.4121889709040747,-0.23275988037705886,0.13216735384214945,121.49989407279676,1.1009298350276517,1.2910396263369248,4093,True,True,True
