universe,sleeve,vol_sleeve,trend_sleeve,sharpe,max_dd,equal_weight_sharpe,trend_crisis_corr_vs_vol,blend_crisis_corr_vs_vol,passes_gate
sp100_sample,blend_vol_top_10_trend_3m_long_cash_80_20,vol_top_10,trend_3m_long_cash,0.9532533530825705,-0.4252212889336401,0.8298670267499215,-0.12935099199715766,0.9981307881654344,False
sp100_sample,blend_vol_top_10_trend_3m_long_cash_70_30,vol_top_10,trend_3m_long_cash,1.026190125672517,-0.3728407323891235,0.8298670267499215,-0.12935099199715766,0.9944741125420234,True
sp100_sample,blend_vol_top_10_trend_3m_long_cash_60_40,vol_top_10,trend_3m_long_cash,1.1106520499827677,-0.3200611413157861,0.8298670267499215,-0.12935099199715766,0.9865832957136768,True
sp100_sample,blend_vol_top_10_trend_6m_long_cash_80_20,vol_top_10,trend_6m_long_cash,0.9407059801122416,-0.42251922564378175,0.8298670267499215,-0.11662906640514045,0.998236705080388,False
sp100_sample,blend_vol_top_10_trend_6m_long_cash_70_30,vol_top_10,trend_6m_long_cash,1.0049164866101978,-0.36850664930957133,0.8298670267499215,-0.11662906640514045,0.994793066515455,True
sp100_sample,blend_vol_top_10_trend_6m_long_cash_60_40,vol_top_10,trend_6m_long_cash,1.0781546767840118,-0.3200611413157859,0.8298670267499215,-0.11662906640514045,0.9873731934848842,True
sp100_sample,blend_vol_top_10_trend_3m_6m_long_cash_80_20,vol_top_10,trend_3m_6m_long_cash,0.9632749721634191,-0.4231356931995752,0.8298670267499215,-0.13551395689537105,0.9981551872734287,False
sp100_sample,blend_vol_top_10_trend_3m_6m_long_cash_70_30,vol_top_10,trend_3m_6m_long_cash,1.042915711601076,-0.3695260938149051,0.8298670267499215,-0.13551395689537105,0.9945432668487123,True
sp100_sample,blend_vol_top_10_trend_3m_6m_long_cash_60_40,vol_top_10,trend_3m_6m_long_cash,1.1356842508678042,-0.3200611413157858,0.8298670267499215,-0.13551395689537105,0.986740842608589,True
sp100_sample,blend_vol_top_10_trend_3m_long_short_80_20,vol_top_10,trend_3m_long_short,0.9274197504190829,-0.4225510032725567,0.8298670267499215,-0.26677839908551276,0.9981230990127411,False
sp100_sample,blend_vol_top_10_trend_3m_long_short_70_30,vol_top_10,trend_3m_long_short,0.9834104811144159,-0.36865889409131125,0.8298670267499215,-0.26677839908551276,0.9943796950419835,True
sp100_sample,blend_vol_top_10_trend_3m_long_short_60_40,vol_top_10,trend_3m_long_short,1.0470852977800877,-0.3136521336611324,0.8298670267499215,-0.26677839908551276,0.9861187970498771,True
sp100_sample,blend_vol_top_10_trend_6m_long_short_80_20,vol_top_10,trend_6m_long_short,0.9107892266882359,-0.41874572636172813,0.8298670267499215,-0.24771568169795366,0.9982771667669108,False
sp100_sample,blend_vol_top_10_trend_6m_long_short_70_30,vol_top_10,trend_6m_long_short,0.9554111623996314,-0.36249965117666216,0.8298670267499215,-0.24771568169795366,0.9948531177283092,True
sp100_sample,blend_vol_top_10_trend_6m_long_short_60_40,vol_top_10,trend_6m_long_short,1.0046690019243363,-0.31365213366113254,0.8298670267499215,-0.24771568169795366,0.9873229956381311,True
sp100_sample,blend_vol_top_10_trend_3m_6m_long_short_80_20,vol_top_10,trend_3m_6m_long_short,0.9372048341395592,-0.41986927937023577,0.8298670267499215,-0.2539043549013254,0.998149687185591,False
sp100_sample,blend_vol_top_10_trend_3m_6m_long_short_70_30,vol_top_10,trend_3m_6m_long_short,0.9999478603528736,-0.36435531379154884,0.8298670267499215,-0.2539043549013254,0.994466749242833,True
sp100_sample,blend_vol_top_10_trend_3m_6m_long_short_60_40,vol_top_10,trend_3m_6m_long_short,1.0723110371903954,-0.3136521336611323,0.8298670267499215,-0.2539043549013254,0.9863574887888588,True
sp100_sample,blend_vol_top_20_trend_3m_long_cash_80_20,vol_top_20,trend_3m_long_cash,0.981361892503032,-0.4002000689678882,0.8298670267499215,-0.13817342332796154,0.9973087311577088,False
sp100_sample,blend_vol_top_20_trend_3m_long_cash_70_30,vol_top_20,trend_3m_long_cash,1.0616713483123394,-0.3505036802129218,0.8298670267499215,-0.13817342332796154,0.9920374059776824,True
sp100_sample,blend_vol_top_20_trend_3m_long_cash_60_40,vol_top_20,trend_3m_long_cash,1.153156120119217,-0.2981721509396268,0.8298670267499215,-0.13817342332796154,0.9806847831954919,True
sp100_sample,blend_vol_top_20_trend_6m_long_cash_80_20,vol_top_20,trend_6m_long_cash,0.9658165984741479,-0.398507570042932,0.8298670267499215,-0.12047860218906202,0.9974602397490642,True
sp100_sample,blend_vol_top_20_trend_6m_long_cash_70_30,vol_top_20,trend_6m_long_cash,1.0352838331111662,-0.34787114747551273,0.8298670267499215,-0.12047860218906202,0.9924993019271433,True
sp100_sample,blend_vol_top_20_trend_6m_long_cash_60_40,vol_top_20,trend_6m_long_cash,1.1129780982602853,-0.29454773465006623,0.8298670267499215,-0.12047860218906202,0.981841988042289,True
sp100_sample,blend_vol_top_20_trend_3m_6m_long_cash_80_20,vol_top_20,trend_3m_6m_long_cash,0.9926592116477615,-0.39915582457702037,0.8298670267499215,-0.13814483984980094,0.9973414854932741,True
sp100_sample,blend_vol_top_20_trend_3m_6m_long_cash_70_30,vol_top_20,trend_3m_6m_long_cash,1.0804018608137975,-0.34893263085463133,0.8298670267499215,-0.13814483984980094,0.9921342852429583,True
sp100_sample,blend_vol_top_20_trend_3m_6m_long_cash_60_40,vol_top_20,trend_3m_6m_long_cash,1.1809010880317226,-0.29608919620885865,0.8298670267499215,-0.13814483984980094,0.9809181745583818,True
sp100_sample,blend_vol_top_20_trend_3m_long_short_80_20,vol_top_20,trend_3m_long_short,0.9522014051726202,-0.3967412332247542,0.8298670267499215,-0.28916328741610076,0.9973120753332613,True
sp100_sample,blend_vol_top_20_trend_3m_long_short_70_30,vol_top_20,trend_3m_long_short,1.013794287231196,-0.34457020376822467,0.8298670267499215,-0.28916328741610076,0.9919105057866793,True
sp100_sample,blend_vol_top_20_trend_3m_long_short_60_40,vol_top_20,trend_3m_long_short,1.08270694448122,-0.29001598804952344,0.8298670267499215,-0.28916328741610076,0.9799269843528625,True
sp100_sample,blend_vol_top_20_trend_6m_long_short_80_20,vol_top_20,trend_6m_long_short,0.931681210088257,-0.39508871138855683,0.8298670267499215,-0.2654924367934742,0.997527295379852,True
