universe,cohort,eligible_tickers,uses_current_pit_mask,avg_candidates,min_candidates,avg_score_non_null,min_score_non_null,avg_selected,min_selected,cagr,sharpe,max_dd,volatility,turnover_sum,avg_gross,max_gross,n_rebalances,passes_drawdown,passes_sharpe,passes_selection_depth,2008_crisis_max_dd,2008_crisis_sharpe,2010_2019_max_dd,2010_2019_sharpe,2020_max_dd,2020_sharpe,2022_max_dd,2022_sharpe,2023_2026_max_dd,2023_2026_sharpe
sp100_sample,baseline_current_mask,44,True,41.33054393305439,39,40.63598326359833,36,20.0,20,0.1822004404333375,1.7392971450392654,-0.17004049951091005,0.10475521158244887,203.9919534129562,1.1391765240878726,1.375,4407,True,True,True,-0.09643078714793685,0.1743576976892406,-0.10859525681742876,1.8073258818584774,-0.17004049951091005,1.1939919178262959,-0.05938442824842405,0.5234696593489617,-0.07898972461869647,2.5639614188822204
sp100_sample,no_pit_mask_configured_list,44,False,44.0,44,43.30543933054393,41,20.0,20,0.18676322658329414,1.7561537573923818,-0.17136064765639847,0.1063478785938475,204.60205958827206,1.1391765240878726,1.375,4407,True,True,True,-0.09789796885023028,0.20042153656339226,-0.10848653949654974,1.8081519346403798,-0.17136064765639847,1.1661160780313669,-0.06099806892871751,0.48339054294827355,-0.08240394249974636,2.687445770635595
sp100_sample,early_active_by_2010,40,True,38.61087866108787,35,37.9163179916318,35,20.0,20,0.18194814476292898,1.751698073559709,-0.16519649664668257,0.10386958089939752,201.47648301696125,1.1391765240878726,1.375,4407,True,True,True,-0.09643078714793685,0.1743576976892406,-0.1078873972660298,1.8443969197939858,-0.16519649664668257,1.2110417194270366,-0.054279608390155776,0.5726128176322877,-0.08179738599390629,2.514195014180238
sp100_sample,pre_2020_active_only,44,True,41.33054393305439,39,40.63598326359833,36,20.0,20,0.1822004404333375,1.7392971450392654,-0.17004049951091005,0.10475521158244887,203.9919534129562,1.1391765240878726,1.375,4407,True,True,True,-0.09643078714793685,0.1743576976892406,-0.10859525681742876,1.8073258818584774,-0.17004049951091005,1.1939919178262959,-0.05938442824842405,0.5234696593489617,-0.07898972461869647,2.5639614188822204
sp100_sample,all_regime_score_coverage_75pct,32,True,31.832635983263597,31,31.832635983263597,31,20.0,20,0.16662790373217073,1.6586792680579876,-0.15223972816833076,0.10045818196501713,198.19278859485416,1.1391765240878726,1.375,4407,True,True,True,-0.09168181550712673,0.21764275462872412,-0.12002118986560328,1.7575109810446632,-0.15223972816833076,0.912950869555975,-0.05269098135826367,0.866341714079523,-0.0783567281810148,2.29147397584687
sp100_sample,full_configured_list_with_current_mask,44,True,41.33054393305439,39,40.63598326359833,36,20.0,20,0.1822004404333375,1.7392971450392654,-0.17004049951091005,0.10475521158244887,203.9919534129562,1.1391765240878726,1.375,4407,True,True,True,-0.09643078714793685,0.1743576976892406,-0.10859525681742876,1.8073258818584774,-0.17004049951091005,1.1939919178262959,-0.05938442824842405,0.5234696593489617,-0.07898972461869647,2.5639614188822204
sp500_dynamic,baseline_current_mask,503,True,286.97489539748955,128,286.63598326359835,128,20.0,20,0.23506022549347572,1.5375856111046415,-0.26357163804361494,0.1528761870531569,230.7480251796179,1.1391765240878726,1.375,4407,True,True,True,-0.13469263380978447,0.21130303673276032,-0.19538029232997312,1.59417521062694,-0.26357163804361494,1.3080502251153516,-0.14185894304285218,-0.2575452386638751,-0.14601838092436148,2.5023939414444647
sp500_dynamic,no_pit_mask_configured_list,503,False,503.0,503,466.3305439330544,411,20.0,20,0.2714858798500437,1.6907416071615982,-0.2693663335716143,0.16057207009048044,232.0056526510536,1.1391765240878726,1.375,4407,True,True,True,-0.16999365791273902,0.2484566061765859,-0.20698311067032704,1.7939115779187407,-0.2693663335716143,1.3395666258972914,-0.13435666204747698,-0.19255064408766617,-0.1460183809243608,2.610249372310042
sp500_dynamic,early_active_by_2010,222,True,185.0753138075314,128,185.03765690376568,128,20.0,20,0.20947021366989738,1.4864358435955793,-0.2461426681431037,0.14092112658101966,226.7009214538829,1.1391765240878726,1.375,4407,True,True,True,-0.13469263380978447,0.21130303673276032,-0.22314291155968358,1.4616266854046869,-0.2461426681431037,0.8979303890825348,-0.0612838393654308,0.8396692391792816,-0.11866085980238883,2.3214113293566023
sp500_dynamic,pre_2020_active_only,412,True,272.5690376569038,128,272.3682008368201,128,20.0,20,0.22706281043758958,1.5312471199049853,-0.26357163804361494,0.14828619592876618,230.443255682616,1.1391765240878726,1.375,4407,True,True,True,-0.13469263380978447,0.21130303673276032,-0.19538029232997312,1.59417521062694,-0.26357163804361494,1.277986219656747,-0.12381839621455726,0.09043428003460384,-0.13468833688649506,2.33711033258727
sp500_dynamic,all_regime_score_coverage_75pct,209,True,181.0753138075314,127,181.0418410041841,127,20.0,20,0.21051317624634636,1.495247978399453,-0.24614266814310337,0.14078813634089268,226.38144769712858,1.1391765240878726,1.375,4407,True,True,True,-0.13586382092826665,0.16327765989213236,-0.22289776732001787,1.473228645030308,-0.24614266814310337,0.8979303890825365,-0.06128383936543069,0.7304572731926124,-0.11849852107560077,2.322692988751846
sp500_dynamic,full_configured_list_with_current_mask,503,True,286.97489539748955,128,286.63598326359835,128,20.0,20,0.23506022549347572,1.5375856111046415,-0.26357163804361494,0.1528761870531569,230.7480251796179,1.1391765240878726,1.375,4407,True,True,True,-0.13469263380978447,0.21130303673276032,-0.19538029232997312,1.59417521062694,-0.26357163804361494,1.3080502251153516,-0.14185894304285218,-0.2575452386638751,-0.14601838092436148,2.5023939414444647
