universe,regime,feature,dates,active_mean,non_null_mean,coverage_mean,coverage_p10,coverage_min
sp100_sample,2008_crisis,volatility_63d,314,39.0,36.0,0.9230769230769248,0.9230769230769231,0.9230769230769231
sp100_sample,2010_2019,volatility_63d,2516,42.27623211446741,41.61367249602544,0.9837702121059384,0.9512195121951219,0.925
sp100_sample,2020,volatility_63d,253,43.0,43.0,1.0,1.0,1.0
sp100_sample,2022,volatility_63d,251,41.0796812749004,41.0796812749004,1.0,1.0,1.0
sp100_sample,2023_2026,volatility_63d,833,39.06602641056423,38.97238895558223,0.9975990396158463,1.0,0.0
sp100_sample,2008_crisis,downside_vol_63d,314,39.0,36.0,0.9230769230769248,0.9230769230769231,0.9230769230769231
sp100_sample,2010_2019,downside_vol_63d,2516,42.27623211446741,41.61367249602544,0.9837702121059384,0.9512195121951219,0.925
sp100_sample,2020,downside_vol_63d,253,43.0,43.0,1.0,1.0,1.0
sp100_sample,2022,downside_vol_63d,251,41.0796812749004,41.0796812749004,1.0,1.0,1.0
sp100_sample,2023_2026,downside_vol_63d,833,39.06602641056423,38.97238895558223,0.9975990396158463,1.0,0.0
sp100_sample,2008_crisis,beta_to_spy_63d,314,39.0,36.0,0.9230769230769248,0.9230769230769231,0.9230769230769231
sp100_sample,2010_2019,beta_to_spy_63d,2516,42.27623211446741,41.61367249602544,0.9837702121059384,0.9512195121951219,0.925
sp100_sample,2020,beta_to_spy_63d,253,43.0,43.0,1.0,1.0,1.0
sp100_sample,2022,beta_to_spy_63d,251,41.0796812749004,41.0796812749004,1.0,1.0,1.0
sp100_sample,2023_2026,beta_to_spy_63d,833,39.06602641056423,38.97238895558223,0.9975990396158463,1.0,0.0
sp100_sample,2008_crisis,max_drawdown_63d,314,39.0,36.0,0.9230769230769248,0.9230769230769231,0.9230769230769231
sp100_sample,2010_2019,max_drawdown_63d,2516,42.27623211446741,41.61486486486486,0.9837992942727537,0.9512195121951219,0.925
sp100_sample,2020,max_drawdown_63d,253,43.0,43.0,1.0,1.0,1.0
sp100_sample,2022,max_drawdown_63d,251,41.0796812749004,41.0796812749004,1.0,1.0,1.0
sp100_sample,2023_2026,max_drawdown_63d,833,39.06602641056423,38.97238895558223,0.9975990396158463,1.0,0.0
sp100_sample,2008_crisis,volatility_score,314,39.0,36.0,0.9230769230769248,0.9230769230769231,0.9230769230769231
sp100_sample,2010_2019,volatility_score,2516,42.27623211446741,41.61486486486486,0.9837992942727537,0.9512195121951219,0.925
sp100_sample,2020,volatility_score,253,43.0,43.0,1.0,1.0,1.0
sp100_sample,2022,volatility_score,251,41.0796812749004,41.0796812749004,1.0,1.0,1.0
sp100_sample,2023_2026,volatility_score,833,39.06602641056423,38.97238895558223,0.9975990396158463,1.0,0.0
sp500_dynamic,2008_crisis,volatility_63d,314,160.2420382165605,159.96178343949043,0.9982441932609,0.9875776397515528,0.9871794871794872
sp500_dynamic,2010_2019,volatility_63d,2516,232.1168521462639,231.80842607313195,0.9986293074370584,0.9940476190476191,0.9887640449438202
sp500_dynamic,2020,volatility_63d,253,353.5810276679842,353.05928853754943,0.998584463149894,0.9948744179946226,0.9945205479452055
sp500_dynamic,2022,volatility_63d,251,408.9641434262948,408.78884462151393,0.9995861040298235,0.9976470588235294,0.9975786924939467
sp500_dynamic,2023_2026,volatility_63d,833,448.05762304921967,447.6110444177671,0.9989968185187855,0.9959016393442623,0.9954233409610984
sp500_dynamic,2008_crisis,downside_vol_63d,314,160.2420382165605,159.96178343949043,0.9982441932609,0.9875776397515528,0.9871794871794872
sp500_dynamic,2010_2019,downside_vol_63d,2516,232.1168521462639,231.80842607313195,0.9986293074370584,0.9940476190476191,0.9887640449438202
sp500_dynamic,2020,downside_vol_63d,253,353.5810276679842,353.05928853754943,0.998584463149894,0.9948744179946226,0.9945205479452055
sp500_dynamic,2022,downside_vol_63d,251,408.9641434262948,408.78884462151393,0.9995861040298235,0.9976470588235294,0.9975786924939467
sp500_dynamic,2023_2026,downside_vol_63d,833,448.05762304921967,447.6110444177671,0.9989968185187855,0.9959016393442623,0.9954233409610984
sp500_dynamic,2008_crisis,beta_to_spy_63d,314,160.2420382165605,159.96178343949043,0.9982441932609,0.9875776397515528,0.9871794871794872
sp500_dynamic,2010_2019,beta_to_spy_63d,2516,232.1168521462639,231.80842607313195,0.9986293074370584,0.9940476190476191,0.9887640449438202
sp500_dynamic,2020,beta_to_spy_63d,253,353.5810276679842,353.05928853754943,0.998584463149894,0.9948744179946226,0.9945205479452055
sp500_dynamic,2022,beta_to_spy_63d,251,408.9641434262948,408.78884462151393,0.9995861040298235,0.9976470588235294,0.9975786924939467
sp500_dynamic,2023_2026,beta_to_spy_63d,833,448.05762304921967,447.6110444177671,0.9989968185187855,0.9959016393442623,0.9954233409610984
sp500_dynamic,2008_crisis,max_drawdown_63d,314,160.2420382165605,159.96815286624204,0.9982845060884417,0.9876006441223832,0.9871794871794872
sp500_dynamic,2010_2019,max_drawdown_63d,2516,232.1168521462639,231.8143879173291,0.9986545446214327,0.9940828402366864,0.9887640449438202
sp500_dynamic,2020,max_drawdown_63d,253,353.5810276679842,353.0711462450593,0.998617544673472,0.9948849104859335,0.9945205479452055
sp500_dynamic,2022,max_drawdown_63d,251,408.9641434262948,408.79282868525894,0.9995954125899755,0.9976470588235294,0.9975786924939467
sp500_dynamic,2023_2026,max_drawdown_63d,833,448.05762304921967,447.6206482593037,0.9990183816799463,0.9959016393442623,0.9954233409610984
sp500_dynamic,2008_crisis,volatility_score,314,160.2420382165605,159.96815286624204,0.9982845060884417,0.9876006441223832,0.9871794871794872
sp500_dynamic,2010_2019,volatility_score,2516,232.1168521462639,231.8143879173291,0.9986545446214327,0.9940828402366864,0.9887640449438202
sp500_dynamic,2020,volatility_score,253,353.5810276679842,353.0711462450593,0.998617544673472,0.9948849104859335,0.9945205479452055
sp500_dynamic,2022,volatility_score,251,408.9641434262948,408.79282868525894,0.9995954125899755,0.9976470588235294,0.9975786924939467
sp500_dynamic,2023_2026,volatility_score,833,448.05762304921967,447.6206482593037,0.9990183816799463,0.9959016393442623,0.9954233409610984
