universe,sleeve,period,cagr,sharpe,max_dd
sp500_dynamic,vol_top_20,gfc,0.16464906302645366,0.22466246445286406,-0.6176403248730415
sp500_dynamic,vol_top_20,covid,-0.47073763498896537,-0.45670177243975113,-0.6242027946097892
sp500_dynamic,vol_top_20,inflation_2022,-0.47075267416638666,-0.7909764803422437,-0.4974539232632318
sp500_dynamic,vol_top_20,recent,0.7240485570452062,1.9594503451649776,-0.3763887057106513
sp500_dynamic,trend_3m_6m_long_cash,gfc,0.07254507886004147,0.6486827839187835,-0.1288272018915151
sp500_dynamic,trend_3m_6m_long_cash,covid,0.1624419600399878,0.9788926202260441,-0.08249695982836136
sp500_dynamic,trend_3m_6m_long_cash,inflation_2022,0.11001584487778171,1.038723276574071,-0.0834275952160286
sp500_dynamic,trend_3m_6m_long_cash,recent,0.1409076520396697,1.6353909662897985,-0.06314564467314665
sp500_dynamic,a7_1_frontier_60_40,gfc,0.2087074103399853,0.4840790032906012,-0.36233817441842375
sp500_dynamic,a7_1_frontier_60_40,covid,-0.18394862269364176,-0.28570755757007316,-0.45171481912496025
sp500_dynamic,a7_1_frontier_60_40,inflation_2022,-0.2520507531339051,-0.7357521523021113,-0.3030709177187907
sp500_dynamic,a7_1_frontier_60_40,recent,0.48394359411555277,2.0744251220618413,-0.24390755087763005
sp500_dynamic,a7_1_frontier_55_45,gfc,0.20636979595831084,0.523780894952873,-0.32640535526921244
sp500_dynamic,a7_1_frontier_55_45,covid,-0.14814776042962663,-0.24848203227183294,-0.4260954518908959
sp500_dynamic,a7_1_frontier_55_45,inflation_2022,-0.22262405904030835,-0.7144557789449338,-0.2759011734384642
sp500_dynamic,a7_1_frontier_55_45,recent,0.45431976791187223,2.095256065396222,-0.2261015596481254
sp500_dynamic,a7_1_frontier_50_50,gfc,0.20228268858764187,0.5664309890890895,-0.2903265860091654
sp500_dynamic,a7_1_frontier_50_50,covid,-0.11296227781198342,-0.20579960592115584,-0.39947699170804574
sp500_dynamic,a7_1_frontier_50_50,inflation_2022,-0.1928736815251877,-0.6866199817698491,-0.24807944590141273
sp500_dynamic,a7_1_frontier_50_50,recent,0.4248372726648397,2.117760964373679,-0.2080154006457715
sp500_dynamic,a7_1_frontier_45_55,gfc,0.1964643034042559,0.6128276248268835,-0.25497748055760117
sp500_dynamic,a7_1_frontier_45_55,covid,-0.07858872817936047,-0.15655981200341682,-0.3718284266228742
sp500_dynamic,a7_1_frontier_45_55,inflation_2022,-0.1628500958056882,-0.6498685647113925,-0.21961093769272366
sp500_dynamic,a7_1_frontier_45_55,recent,0.39551135631079704,2.1416690840940347,-0.19112873515905804
sp500_dynamic,a7_1_frontier_40_60,gfc,0.18893998027257908,0.6640162194584701,-0.2194078863695923
sp500_dynamic,a7_1_frontier_40_60,covid,-0.0452253502811929,-0.09927259635603321,-0.3431180578515728
sp500_dynamic,a7_1_frontier_40_60,inflation_2022,-0.13260663541652118,-0.6005309201248732,-0.19050209928655093
sp500_dynamic,a7_1_frontier_40_60,recent,0.3663568080749178,2.1662777183882547,-0.1742988010639167
sp500_dynamic,a7_1_stress_60_40_k_10,gfc,0.21971018928463915,0.6002498253105704,-0.2897119551530186
sp500_dynamic,a7_1_stress_60_40_k_10,covid,-0.11088175595771232,-0.19646682399272658,-0.4080934251394188
sp500_dynamic,a7_1_stress_60_40_k_10,inflation_2022,-0.20686853296003738,-0.6763833466046113,-0.26622575897040335
sp500_dynamic,a7_1_stress_60_40_k_10,recent,0.47744971778499723,2.16812072603965,-0.22248514685572662
sp500_dynamic,a7_1_stress_60_40_k_20,gfc,0.22513386591603224,0.7446930500188126,-0.2185424060033545
sp500_dynamic,a7_1_stress_60_40_k_20,covid,-0.03811663427335754,-0.07841597426273321,-0.36168680269276465
sp500_dynamic,a7_1_stress_60_40_k_20,inflation_2022,-0.16034510747965802,-0.5937543342122673,-0.22873144079519314
sp500_dynamic,a7_1_stress_60_40_k_20,recent,0.4705957479752785,2.266970211140649,-0.20065661714236083
sp500_dynamic,a7_1_stress_60_40_k_30,gfc,0.22489972316642537,0.9327521735936506,-0.1687176864240667
sp500_dynamic,a7_1_stress_60_40_k_30,covid,0.03337941251420151,0.08149394617441003,-0.3123450443915319
sp500_dynamic,a7_1_stress_60_40_k_30,inflation_2022,-0.11253450869600778,-0.4776053218891116,-0.1961949589057077
sp500_dynamic,a7_1_stress_60_40_k_30,recent,0.46338206635876356,2.3702339437059017,-0.17990493586159328
sp500_dynamic,a7_1_stress_50_50_k_10,gfc,0.20700657612213957,0.705862458799072,-0.21629273577452257
sp500_dynamic,a7_1_stress_50_50_k_10,covid,-0.04142123097028816,-0.08802314642293328,-0.35244934930245275
sp500_dynamic,a7_1_stress_50_50_k_10,inflation_2022,-0.14624486713484086,-0.596616974332033,-0.20960796274827487
sp500_dynamic,a7_1_stress_50_50_k_10,recent,0.4178773469229402,2.2227955855874866,-0.18739324153431136
sp500_dynamic,a7_1_stress_50_50_k_20,gfc,0.2061644398439415,0.8888290677874515,-0.16640325851913496
sp500_dynamic,a7_1_stress_50_50_k_20,covid,0.028630273589918875,0.07264122044263426,-0.3024658452445873
sp500_dynamic,a7_1_stress_50_50_k_20,inflation_2022,-0.09841289412926535,-0.46668766643249066,-0.17646556768705013
sp500_dynamic,a7_1_stress_50_50_k_20,recent,0.4105785795042478,2.333015464852201,-0.16660999958291856
sp500_dynamic,a7_1_stress_50_50_k_30,gfc,0.18405919097531176,0.9753178546585598,-0.13490324838275125
sp500_dynamic,a7_1_stress_50_50_k_30,covid,0.058202065220625876,0.17348981602664587,-0.2641286061984197
sp500_dynamic,a7_1_stress_50_50_k_30,inflation_2022,-0.05150977078029817,-0.287348859149443,-0.1431039509810128
sp500_dynamic,a7_1_stress_50_50_k_30,recent,0.4029471781712284,2.446437293931373,-0.14715501509576467
sp500_dynamic,a7_1_hedge_60_40_k_10_beta_0_7,gfc,0.2249926064873129,0.7847652407074273,-0.22066255870896467
sp500_dynamic,a7_1_hedge_60_40_k_10_beta_0_7,covid,-0.0678250619362718,-0.1309586425629841,-0.3809806946855687
sp500_dynamic,a7_1_hedge_60_40_k_10_beta_0_7,inflation_2022,-0.13628644816632685,-0.5099580075866821,-0.2083448664373443
sp500_dynamic,a7_1_hedge_60_40_k_10_beta_0_7,recent,0.5140383709788303,2.766848693782201,-0.14887301024146227
sp500_dynamic,a7_1_hedge_60_40_k_10_beta_0_5,gfc,0.26385104690781547,1.0739055629206797,-0.17493752467466783
sp500_dynamic,a7_1_hedge_60_40_k_10_beta_0_5,covid,-0.003695576245149379,-0.008068869147347543,-0.3438174965341806
sp500_dynamic,a7_1_hedge_60_40_k_10_beta_0_5,inflation_2022,-0.10034282044220033,-0.4057898679096258,-0.18613752696749664
sp500_dynamic,a7_1_hedge_60_40_k_10_beta_0_5,recent,0.5148598440116259,2.8959983975790964,-0.14043095238832937
sp500_dynamic,a7_1_hedge_60_40_k_20_beta_0_7,gfc,0.18792150596340185,0.7342992657625522,-0.19240237939503424
sp500_dynamic,a7_1_hedge_60_40_k_20_beta_0_7,covid,-0.022918334278628882,-0.04865378888969361,-0.35145864499527746
sp500_dynamic,a7_1_hedge_60_40_k_20_beta_0_7,inflation_2022,-0.12371441832152419,-0.5016978875081135,-0.2012988704060319
sp500_dynamic,a7_1_hedge_60_40_k_20_beta_0_7,recent,0.4984175766869967,2.7843925510401433,-0.1406962183180276
sp500_dynamic,a7_1_hedge_60_40_k_20_beta_0_5,gfc,0.21494019865408198,0.9621295757887119,-0.1594410865278747
sp500_dynamic,a7_1_hedge_60_40_k_20_beta_0_5,covid,0.013083138300429509,0.031394881696787606,-0.3202898977717267
sp500_dynamic,a7_1_hedge_60_40_k_20_beta_0_5,inflation_2022,-0.08766109423433233,-0.3858793647260524,-0.1734445128397234
sp500_dynamic,a7_1_hedge_60_40_k_20_beta_0_5,recent,0.4992083441015529,2.9202866171758464,-0.13218920094767728
sp500_dynamic,a7_1_hedge_50_50_k_10_beta_0_7,gfc,0.1815140494901908,0.7223437632726345,-0.19200848166451956
sp500_dynamic,a7_1_hedge_50_50_k_10_beta_0_7,covid,-0.01860243837031661,-0.0404355651517792,-0.3438728675870534
sp500_dynamic,a7_1_hedge_50_50_k_10_beta_0_7,inflation_2022,-0.11712696710542314,-0.5108463641312343,-0.1898763814834935
sp500_dynamic,a7_1_hedge_50_50_k_10_beta_0_7,recent,0.4474287678359625,2.7373545109960276,-0.13247327930764752
sp500_dynamic,a7_1_hedge_50_50_k_10_beta_0_5,gfc,0.20514228322680528,0.9350962427629398,-0.15929872636083386
sp500_dynamic,a7_1_hedge_50_50_k_10_beta_0_5,covid,0.022969091132797326,0.056390040157441604,-0.3138021396627442
sp500_dynamic,a7_1_hedge_50_50_k_10_beta_0_5,inflation_2022,-0.07938070871843872,-0.3765885851643153,-0.16178466715098339
sp500_dynamic,a7_1_hedge_50_50_k_10_beta_0_5,recent,0.4480786253345146,2.890112766159365,-0.12391182298547132
sp500_dynamic,a7_1_hedge_50_50_k_20_beta_0_7,gfc,0.17218609849423916,0.7974838989689059,-0.16640325851913407
sp500_dynamic,a7_1_hedge_50_50_k_20_beta_0_7,covid,0.03793875296585725,0.09651338517471555,-0.2987781869586116
sp500_dynamic,a7_1_hedge_50_50_k_20_beta_0_7,inflation_2022,-0.09145660727719462,-0.44690094723236157,-0.17334779072881612
sp500_dynamic,a7_1_hedge_50_50_k_20_beta_0_7,recent,0.43185780551755415,2.7461913554300033,-0.1259997447646377
sp500_dynamic,a7_1_hedge_50_50_k_20_beta_0_5,gfc,0.16345045704371342,0.8471244252205713,-0.14562722654066984
sp500_dynamic,a7_1_hedge_50_50_k_20_beta_0_5,covid,0.036140712954626286,0.09821552217244704,-0.2884839456512027
sp500_dynamic,a7_1_hedge_50_50_k_20_beta_0_5,inflation_2022,-0.06636821674885707,-0.34777867951172137,-0.1547485915527611
sp500_dynamic,a7_1_hedge_50_50_k_20_beta_0_5,recent,0.43273085814437784,2.9082344657780523,-0.11738433812584625
