date,variant,stress_score,dynamic_beta_cap,beta_after,gross_after
2008-01-07,b3_1_reference,0.6117176537385769,0.9,0.5,1.1527028308552967
2008-03-03,b3_1_reference,0.7039801879569874,0.9,0.5000000000000001,1.0656735882326163
2008-04-28,b3_1_reference,0.4975080647678027,0.9,0.5502783572914703,0.8498178845383255
2008-06-23,b3_1_reference,0.6176407128038031,0.9,0.5,0.7440541069916763
2008-08-18,b3_1_reference,0.5936891730112287,0.9,0.9000000000000001,1.3099137947374384
2008-10-13,b3_1_reference,0.9970238095238095,0.9,0.49999999999999994,1.1097303480378367
2008-12-08,b3_1_reference,0.9692460317460317,0.9,0.5000000000000001,1.0743029895552627
2009-02-02,b3_1_reference,0.9375,0.9,0.5000000000000001,1.0617112720546271
2009-03-30,b3_1_reference,0.9236111111111112,0.9,0.572286855968237,0.8433242983973014
2009-05-26,b3_1_reference,0.8253968253968254,0.9,0.9000000000000001,0.6671893986696221
2009-07-20,b3_1_reference,0.6999007936507937,0.9,0.8999999999999997,0.6610451490134795
2009-09-14,b3_1_reference,0.6630903037118762,0.9,0.8510842257566383,1.0563329938257369
2009-11-09,b3_1_reference,0.5625256460627178,0.9,0.9,0.9982741273273533
2010-01-04,b3_1_reference,0.43191463386371026,0.9,0.9000000000000001,0.6711937110436647
2010-03-01,b3_1_reference,0.44013317208918357,0.9,0.8999999999999999,1.2477393151563916
2010-04-26,b3_1_reference,0.3249223095691043,0.9,0.8999999999999998,1.0743938065884846
2010-06-21,b3_1_reference,0.6085071891385113,0.9,0.5000000000000001,1.4000305368117885
2010-08-16,b3_1_reference,0.6813641764646053,0.9,0.5000000000000001,1.1693429844243437
2010-10-11,b3_1_reference,0.3868691827677991,0.9,0.7407308856627537,1.1961643701209272
2010-12-06,b3_1_reference,0.3084127904642434,0.9,0.8999999999999999,0.7924363316980643
2011-01-31,b3_1_reference,0.30378145404781864,0.9,0.9000000000000002,0.8154366155522349
2011-03-28,b3_1_reference,0.28981184410332494,0.9,0.9,0.9207752605115419
2011-05-23,b3_1_reference,0.28137132862670045,0.9,0.8048934995980714,1.2922056992940052
2011-07-18,b3_1_reference,0.4017020464149058,0.9,0.8137268191313373,1.3102553069622354
2011-09-12,b3_1_reference,0.8096771054709455,0.9,0.5,1.5000000000000004
2011-11-07,b3_1_reference,0.6170041447469266,0.9,0.5,1.3151581131029038
2012-01-03,b3_1_reference,0.4731886234453099,0.9,0.6684774507744214,1.3209782935167964
2012-02-27,b3_1_reference,0.2135410168501981,0.9,0.8702334046942783,1.2820311525275296
2012-04-23,b3_1_reference,0.24657543575201124,0.9,0.7699492628722152,1.2869863153628014
2012-06-18,b3_1_reference,0.2436249791791804,0.9,0.7387024092012588,1.286543746876877
2012-08-13,b3_1_reference,0.0078000645910079455,0.9,0.8893867803304861,1.2511700096886507
2012-10-08,b3_1_reference,0.03956903819951814,0.9,0.9,1.031363122792317
2012-12-03,b3_1_reference,0.18645620970136215,0.9,0.9000000000000001,0.7709162886927913
2013-01-28,b3_1_reference,0.014397836692045758,0.9,0.9000000000000002,0.7152819055547595
