date,variant,gross_before,gross_after,scale,projection_reason
2008-04-07,b2_every_2_no_projection,0.8878346933668968,0.8878346933668968,1.0,held
2008-04-08,b2_every_2_no_projection,0.8878346933668968,0.8878346933668968,1.0,held
2008-04-09,b2_every_2_no_projection,0.8878346933668968,0.8878346933668968,1.0,held
2008-04-10,b2_every_2_no_projection,0.8878346933668968,0.8878346933668968,1.0,held
2008-04-11,b2_every_2_no_projection,0.8878346933668968,0.8878346933668968,1.0,held
2008-04-14,b2_every_2_no_projection,0.8878346933668968,0.8878346933668968,1.0,held
2008-04-15,b2_every_2_no_projection,0.8878346933668968,0.8878346933668968,1.0,held
2008-04-16,b2_every_2_no_projection,0.8878346933668968,0.8878346933668968,1.0,held
2008-04-17,b2_every_2_no_projection,0.8878346933668968,0.8878346933668968,1.0,held
2008-04-18,b2_every_2_no_projection,0.8878346933668968,0.8878346933668968,1.0,held
2008-04-21,b2_every_2_no_projection,0.8878346933668968,0.8878346933668968,1.0,held
2008-04-22,b2_every_2_no_projection,0.8878346933668968,0.8878346933668968,1.0,held
2008-04-23,b2_every_2_no_projection,0.8878346933668968,0.8878346933668968,1.0,held
2008-04-24,b2_every_2_no_projection,0.8878346933668968,0.8878346933668968,1.0,held
2008-04-25,b2_every_2_no_projection,0.8878346933668968,0.8878346933668968,1.0,held
2008-04-28,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,none
2008-04-29,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-04-30,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-05-01,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-05-02,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-05-05,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-05-06,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-05-07,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-05-08,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-05-09,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-05-12,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-05-13,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-05-14,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-05-15,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
