universe,sleeve,sleeve_type,cagr,sharpe,max_dd,volatility,turnover_sum,n_rebalances,target_beta,avg_realized_beta,vol_sleeve,defensive_sleeve,vol_weight,defensive_weight
sp100_sample,blend_vol_top_10_defensive_stability_top_50_beta_0_8_60_40,blend,0.2067591372781934,0.8479211527391333,-0.45969894501364306,0.24384240988714168,61.43021016572245,239,,1.1660574422231091,vol_top_10,defensive_stability_top_50_beta_0_8,0.6,0.4
sp100_sample,blend_vol_top_10_defensive_stability_top_50_beta_0_8_50_50,blend,0.19761963596275867,0.8569739684680212,-0.44962180263917406,0.2306016789705241,56.536634380372774,239,,1.1051015084009213,vol_top_10,defensive_stability_top_50_beta_0_8,0.5,0.5
sp100_sample,blend_vol_top_10_defensive_stability_top_50_beta_0_8_70_30,blend,0.21556771275661246,0.8365797493451678,-0.47085355977138255,0.25767742157917156,66.37265762429182,239,,1.2270133760452964,vol_top_10,defensive_stability_top_50_beta_0_8,0.7,0.3
sp100_sample,blend_vol_top_10_defensive_stability_top_50_beta_0_8_40_60,blend,0.1881479135740891,0.8628129212393842,-0.44131578842027885,0.2180633935150447,51.78865160659778,239,,1.0441455745787334,vol_top_10,defensive_stability_top_50_beta_0_8,0.4,0.6
sp100_sample,blend_vol_top_20_defensive_stability_top_30_equal_weight_60_40,blend,0.18667112814195908,0.8409671477830692,-0.4613706069276543,0.22197196244116735,49.29333333333334,239,,1.0578333395469044,vol_top_20,defensive_stability_top_30_equal_weight,0.6,0.4
sp100_sample,blend_vol_top_20_defensive_stability_top_30_equal_weight_50_50,blend,0.18257079669242327,0.8438624994041503,-0.4530451680942468,0.2163513567925298,46.86666666666667,239,,1.0268167733597682,vol_top_20,defensive_stability_top_30_equal_weight,0.5,0.5
sp100_sample,blend_vol_top_20_defensive_stability_top_30_equal_weight_70_30,blend,0.19070211237621115,0.8372843114717183,-0.4696236431658426,0.22776267244397383,51.71999999999996,239,,1.0888499057340406,vol_top_20,defensive_stability_top_30_equal_weight,0.7,0.3
sp100_sample,blend_vol_top_20_defensive_stability_top_30_equal_weight_40_60,blend,0.17840192533783905,0.8458496756302932,-0.4446478639599746,0.21091445735307648,44.439999999999955,239,,0.995800207172632,vol_top_20,defensive_stability_top_30_equal_weight,0.4,0.6
sp100_sample,blend_vol_top_20_defensive_stability_top_50_equal_weight_60_40,blend,0.18752415979420567,0.8501434236133324,-0.4505757174159317,0.22057943940468167,35.98072888729718,239,,1.0664793933825663,vol_top_20,defensive_stability_top_50_equal_weight,0.6,0.4
sp100_sample,blend_vol_top_20_defensive_stability_top_50_equal_weight_50_50,blend,0.1836470522632474,0.8561226184033429,-0.4393447178713603,0.21451022121778146,30.225911109121554,239,,1.0376243406543455,vol_top_20,defensive_stability_top_50_equal_weight,0.5,0.5
sp100_sample,blend_vol_top_20_defensive_stability_top_50_equal_weight_70_30,blend,0.19133581448493286,0.8437211978106006,-0.46165062209474517,0.22677611393602098,41.73554666547304,239,,1.0953344461107866,vol_top_20,defensive_stability_top_50_equal_weight,0.7,0.3
sp100_sample,blend_vol_top_20_defensive_stability_top_50_equal_weight_40_60,blend,0.17970520536596424,0.8615665879054333,-0.427957230931702,0.20857958965522108,24.4710933309458,239,,1.0087692879261247,vol_top_20,defensive_stability_top_50_equal_weight,0.4,0.6
sp100_sample,blend_vol_top_20_defensive_stability_top_30_beta_0_6_60_40,blend,0.17483448361961784,0.8630457042576944,-0.430442819453431,0.2025784761538127,72.69503705458165,239,,0.951302285190417,vol_top_20,defensive_stability_top_30_beta_0_6,0.6,0.4
sp100_sample,blend_vol_top_20_defensive_stability_top_30_beta_0_6_50_50,blend,0.16730563234447038,0.8660196009086822,-0.4208748962272916,0.1931891982224453,76.84101542302355,239,,0.8936529554141589,vol_top_20,defensive_stability_top_30_beta_0_6,0.5,0.5
sp100_sample,blend_vol_top_20_defensive_stability_top_30_beta_0_6_70_30,blend,0.1821276289076741,0.8564935581341375,-0.44039649770365497,0.21264331433436262,68.66182432711724,239,,1.008951614966675,vol_top_20,defensive_stability_top_30_beta_0_6,0.7,0.3
sp100_sample,blend_vol_top_20_defensive_stability_top_30_beta_0_6_40_60,blend,0.15955185509758074,0.8644122935515495,-0.4119880098307105,0.18457841968216504,81.03877429101597,239,,0.8360036256379008,vol_top_20,defensive_stability_top_30_beta_0_6,0.4,0.6
