universe,vol_sleeve,other_sleeve,other_type,crisis_correlation,crisis_observations
sp100_sample,vol_top_20,blend_vol_top_10_trend_6m_long_short_60_40,blend,0.9608805370459044,902
sp100_sample,vol_top_20,blend_vol_top_10_trend_3m_6m_long_short_80_20,blend,0.9739809040632219,902
sp100_sample,vol_top_20,blend_vol_top_10_trend_3m_6m_long_short_70_30,blend,0.9694218190326652,902
sp100_sample,vol_top_20,blend_vol_top_10_trend_3m_6m_long_short_60_40,blend,0.9602052252867305,902
sp100_sample,vol_top_20,blend_vol_top_20_trend_3m_long_cash_80_20,blend,0.9973087311577088,902
sp100_sample,vol_top_20,blend_vol_top_20_trend_3m_long_cash_70_30,blend,0.9920374059776824,902
sp100_sample,vol_top_20,blend_vol_top_20_trend_3m_long_cash_60_40,blend,0.9806847831954919,902
sp100_sample,vol_top_20,blend_vol_top_20_trend_6m_long_cash_80_20,blend,0.9974602397490642,902
sp100_sample,vol_top_20,blend_vol_top_20_trend_6m_long_cash_70_30,blend,0.9924993019271433,902
sp100_sample,vol_top_20,blend_vol_top_20_trend_6m_long_cash_60_40,blend,0.981841988042289,902
sp100_sample,vol_top_20,blend_vol_top_20_trend_3m_6m_long_cash_80_20,blend,0.9973414854932741,902
sp100_sample,vol_top_20,blend_vol_top_20_trend_3m_6m_long_cash_70_30,blend,0.9921342852429583,902
sp100_sample,vol_top_20,blend_vol_top_20_trend_3m_6m_long_cash_60_40,blend,0.9809181745583818,902
sp100_sample,vol_top_20,blend_vol_top_20_trend_3m_long_short_80_20,blend,0.9973120753332613,902
sp100_sample,vol_top_20,blend_vol_top_20_trend_3m_long_short_70_30,blend,0.9919105057866793,902
sp100_sample,vol_top_20,blend_vol_top_20_trend_3m_long_short_60_40,blend,0.9799269843528625,902
sp100_sample,vol_top_20,blend_vol_top_20_trend_6m_long_short_80_20,blend,0.997527295379852,902
sp100_sample,vol_top_20,blend_vol_top_20_trend_6m_long_short_70_30,blend,0.9925831360134486,902
sp100_sample,vol_top_20,blend_vol_top_20_trend_6m_long_short_60_40,blend,0.9816683353993749,902
sp100_sample,vol_top_20,blend_vol_top_20_trend_3m_6m_long_short_80_20,blend,0.9973410190897262,902
sp100_sample,vol_top_20,blend_vol_top_20_trend_3m_6m_long_short_70_30,blend,0.9920172750415697,902
sp100_sample,vol_top_20,blend_vol_top_20_trend_3m_6m_long_short_60_40,blend,0.980255616388112,902
sp500_dynamic,vol_top_10,trend_3m_long_cash,trend,-0.10755679020055306,902
sp500_dynamic,vol_top_10,trend_6m_long_cash,trend,-0.10310400590815934,902
sp500_dynamic,vol_top_10,trend_3m_6m_long_cash,trend,-0.11683936656762316,902
sp500_dynamic,vol_top_10,trend_3m_long_short,trend,-0.22266342630077046,902
sp500_dynamic,vol_top_10,trend_6m_long_short,trend,-0.21825459601362418,902
sp500_dynamic,vol_top_10,trend_3m_6m_long_short,trend,-0.21885184854297854,902
sp500_dynamic,vol_top_10,blend_vol_top_10_trend_3m_long_cash_80_20,blend,0.9992617959107303,902
sp500_dynamic,vol_top_10,blend_vol_top_10_trend_3m_long_cash_70_30,blend,0.9978223512404376,902
sp500_dynamic,vol_top_10,blend_vol_top_10_trend_3m_long_cash_60_40,blend,0.9947133276026134,902
sp500_dynamic,vol_top_10,blend_vol_top_10_trend_6m_long_cash_80_20,blend,0.9993042586329501,902
sp500_dynamic,vol_top_10,blend_vol_top_10_trend_6m_long_cash_70_30,blend,0.9979482097592312,902
sp500_dynamic,vol_top_10,blend_vol_top_10_trend_6m_long_cash_60_40,blend,0.9950202920535868,902
sp500_dynamic,vol_top_10,blend_vol_top_10_trend_3m_6m_long_cash_80_20,blend,0.9992717714038212,902
sp500_dynamic,vol_top_10,blend_vol_top_10_trend_3m_6m_long_cash_70_30,blend,0.9978506933788232,902
sp500_dynamic,vol_top_10,blend_vol_top_10_trend_3m_6m_long_cash_60_40,blend,0.9947784974094077,902
sp500_dynamic,vol_top_10,blend_vol_top_10_trend_3m_long_short_80_20,blend,0.9992518568880471,902
sp500_dynamic,vol_top_10,blend_vol_top_10_trend_3m_long_short_70_30,blend,0.9977782701540141,902
sp500_dynamic,vol_top_10,blend_vol_top_10_trend_3m_long_short_60_40,blend,0.9945581632771423,902
sp500_dynamic,vol_top_10,blend_vol_top_10_trend_6m_long_short_80_20,blend,0.9993172936935162,902
sp500_dynamic,vol_top_10,blend_vol_top_10_trend_6m_long_short_70_30,blend,0.9979738630066084,902
sp500_dynamic,vol_top_10,blend_vol_top_10_trend_6m_long_short_60_40,blend,0.9950406017178225,902
sp500_dynamic,vol_top_10,blend_vol_top_10_trend_3m_6m_long_short_80_20,blend,0.9992653703962454,902
sp500_dynamic,vol_top_10,blend_vol_top_10_trend_3m_6m_long_short_70_30,blend,0.9978190569222669,902
sp500_dynamic,vol_top_10,blend_vol_top_10_trend_3m_6m_long_short_60_40,blend,0.9946600421212346,902
sp500_dynamic,vol_top_10,blend_vol_top_20_trend_3m_long_cash_80_20,blend,0.9810108575023415,902
sp500_dynamic,vol_top_10,blend_vol_top_20_trend_3m_long_cash_70_30,blend,0.9788688832474295,902
sp500_dynamic,vol_top_10,blend_vol_top_20_trend_3m_long_cash_60_40,blend,0.9744137842713192,902
