variant,top_n,sector_cap,use_optimizer,use_risk_engine,cagr,sharpe,max_dd,volatility,mean_ic,ic_sharpe,mean_spread,n_rebalances
volatility_topn_20,20,0.25,False,False,0.19756991474798125,0.8142555292179235,-0.5014379240632629,0.24263871433300951,0.04075423939785715,0.12592582721274112,0.016750035244467942,238
volatility_topn_30,30,0.25,False,False,0.17559082622528588,0.8239162812166341,-0.45695173683262946,0.2131173157131937,0.04075423939785715,0.12592582721274112,0.016750035244467942,238
volatility_topn_40,40,0.25,False,False,0.1617226259553699,0.8434422140642623,-0.43062926822937153,0.1917412043868226,0.04075423939785715,0.12592582721274112,0.016750035244467942,238
volatility_topn_50,50,0.25,False,False,0.16160635027960857,0.852331789098915,-0.43062926822937153,0.18960497818632197,0.04075423939785715,0.12592582721274112,0.016750035244467942,238
