universe,sleeve,sleeve_type,cagr,sharpe,max_dd,volatility,turnover_sum,n_rebalances,target_beta,avg_realized_beta
sp100_sample,vol_top_10,volatility,0.23995995236730172,0.7947927905187655,-0.5087670608451254,0.30191510948492445,81.20000000000003,239,,1.4098811775118596
sp100_sample,vol_top_20,volatility,0.2023710705636208,0.8225343923006667,-0.4939433956730751,0.24603356705557267,59.00000000000002,239,,1.1818996042954493
sp100_sample,crisis_diversifier_top_10_equal_weight,diversifier,0.1793759313067338,0.8536528552492901,-0.4528677862096553,0.21012748941646905,83.00000000000009,239,,0.9147272535738636
sp100_sample,crisis_diversifier_top_20_equal_weight,diversifier,0.1727793834466187,0.8620760836026244,-0.46350016775378267,0.20042242991427386,50.40000000000002,239,,0.9124687821221668
sp100_sample,crisis_diversifier_top_30_equal_weight,diversifier,0.1686631445772493,0.8628741064758844,-0.4261226030346873,0.19546668895430935,25.466666666666626,239,,0.8935322743229825
sp100_sample,crisis_diversifier_top_10_beta_0_6,diversifier,0.13909110975171468,0.7441386510353838,-0.4228038443308718,0.18691558294705607,125.31809417701523,239,0.6,0.6989100863999884
sp100_sample,crisis_diversifier_top_20_beta_0_6,diversifier,0.12239787218884723,0.7337890981069215,-0.42271275308032663,0.16680252201159365,125.49283432965927,239,0.6,0.6149495468693809
sp100_sample,crisis_diversifier_top_30_beta_0_6,diversifier,0.13637689111217655,0.8432622152666559,-0.39478417164073165,0.16172536684695582,98.47786617636554,239,0.6,0.6055839257980007
sp100_sample,crisis_diversifier_top_10_beta_0_8,diversifier,0.1432075840366418,0.7409676565776357,-0.4137168278801243,0.19327103250104824,124.02784520288434,239,0.8,0.8079937691978332
sp100_sample,crisis_diversifier_top_20_beta_0_8,diversifier,0.15258738690224738,0.8438221884420825,-0.4281366501224273,0.1808288392889547,93.07718683179029,239,0.8,0.800306032707091
sp100_sample,crisis_diversifier_top_30_beta_0_8,diversifier,0.1496638805795918,0.8414568004090135,-0.41796188894656294,0.17786282136747067,60.058988337974185,239,0.8,0.8003851865492775
