feature,year,mean_ic,ic_sharpe,sign_stability,n
ret_1m,2008,-0.009044780518820362,-0.14017610774298736,0.5384615384615384,13
ret_1m,2009,-0.008824360509313092,-0.16257806464253677,0.38461538461538464,13
ret_1m,2010,-0.03517523697846417,-0.6671408107364282,0.38461538461538464,13
ret_1m,2011,0.01485104647676026,0.33512841640041363,0.7692307692307693,13
ret_1m,2012,0.0014771774641837352,0.038727357435354916,0.5,14
ret_1m,2013,-0.03570016304697485,-0.8652772971675036,0.38461538461538464,13
ret_1m,2014,0.02065702107874274,0.4938774381370033,0.6153846153846154,13
ret_1m,2015,0.009616758840615674,0.225994239322948,0.5384615384615384,13
ret_1m,2016,0.013824074039297998,0.2634523657149729,0.46153846153846156,13
ret_1m,2017,-0.006098242605505955,-0.16592219589594281,0.46153846153846156,13
ret_1m,2018,-0.08238603277006643,-2.078602429202928,0.23076923076923078,13
ret_1m,2019,-0.03252122813215313,-0.7383043980787228,0.38461538461538464,13
ret_1m,2020,0.03716201326873724,0.7109804545788707,0.6923076923076923,13
ret_1m,2021,-0.08994089973212559,-1.6942555330900948,0.23076923076923078,13
ret_1m,2022,-0.053715114689449554,-0.956413441287823,0.38461538461538464,13
ret_1m,2023,0.011315449567894929,0.3063191928914906,0.5384615384615384,13
ret_1m,2024,0.06104715224421044,1.6212086989399594,0.6923076923076923,13
ret_1m,2025,0.025791688102195596,0.5714798831495427,0.6153846153846154,13
ret_1m,2026,-0.013456771123197426,-0.30343676507913336,0.6666666666666666,3
ret_3m,2008,-0.005675334813884718,-0.0742311902196961,0.5384615384615384,13
ret_3m,2009,-0.06745654102931689,-1.1635909334161068,0.38461538461538464,13
ret_3m,2010,-0.02297014598531572,-0.43465991173219876,0.46153846153846156,13
ret_3m,2011,0.01937763605441941,0.4036943502919089,0.6153846153846154,13
ret_3m,2012,-0.0388003548027266,-0.9707217430404566,0.35714285714285715,14
ret_3m,2013,-0.003980086171647945,-0.10157772158704423,0.5384615384615384,13
ret_3m,2014,0.04610217266537591,0.8676962515176998,0.6923076923076923,13
ret_3m,2015,0.017442353043498927,0.42142764093715895,0.5384615384615384,13
ret_3m,2016,-0.034392364966839235,-0.8703060167189249,0.46153846153846156,13
ret_3m,2017,0.06772397560757369,2.146606464292759,0.6923076923076923,13
ret_3m,2018,-0.05672368268864271,-1.118328346238209,0.38461538461538464,13
ret_3m,2019,-0.013526014772843053,-0.24934180023803235,0.38461538461538464,13
ret_3m,2020,0.05793534237941856,0.8809859537211174,0.8461538461538461,13
ret_3m,2021,-0.05148140840050356,-0.9790301470179039,0.38461538461538464,13
ret_3m,2022,-0.03366332352705119,-0.6245197300631439,0.5384615384615384,13
ret_3m,2023,-0.03342977421874263,-0.7324428374133479,0.3076923076923077,13
ret_3m,2024,0.03125470173701574,0.9281284990627996,0.6923076923076923,13
