universe,direction,regime,mean_ic,ic_sharpe,pct_positive_ic,mean_top_bottom_spread,n_dates
sp100_sample,long_high_vol_rebound,low_vix,0.05714914772290521,0.21427422969340507,0.6028406102051552,0.02046421088214586,1901
sp100_sample,long_high_vol_rebound,high_vix,0.03388504404785735,0.10674027648455843,0.540590405904059,0.012677101743309655,1084
sp100_sample,long_high_vol_rebound,crash,0.08138296193917878,0.2547014004285891,0.5860927152317881,0.025516789930551304,906
sp100_sample,long_high_vol_rebound,recovery,0.06482672312670791,0.1924270902366348,0.5685483870967742,0.020375238978513534,248
sp100_sample,long_high_vol_rebound,trending,0.016016695639810962,0.05739312578039344,0.5221489161168709,0.018360843696541215,1061
sp100_sample,long_high_vol_rebound,sideways,0.037414060215096266,0.12839975167933382,0.5597189695550351,0.009828466374787308,1708
sp100_sample,long_low_vol_quality,low_vix,-0.05714914772290521,-0.21427422969340507,0.39715938979484483,-0.020491146905882083,1901
sp100_sample,long_low_vol_quality,high_vix,-0.03388504404785735,-0.10674027648455843,0.45940959409594095,-0.012677101743309655,1084
sp100_sample,long_low_vol_quality,crash,-0.08138296193917878,-0.2547014004285891,0.4139072847682119,-0.02556248273441225,906
sp100_sample,long_low_vol_quality,recovery,-0.06482672312670791,-0.1924270902366348,0.4314516129032258,-0.020366416673714263,248
sp100_sample,long_low_vol_quality,trending,-0.016016695639810962,-0.05739312578039344,0.47785108388312914,-0.018387795344513052,1061
sp100_sample,long_low_vol_quality,sideways,-0.037414060215096266,-0.12839975167933382,0.44028103044496486,-0.00987547799037389,1708
sp500_dynamic,long_high_vol_rebound,low_vix,0.024712397649954296,0.10595628106951667,0.5386638611257233,0.009451534434160122,1901
sp500_dynamic,long_high_vol_rebound,high_vix,0.050215535955303384,0.18092404101675244,0.5369003690036901,0.02325688655913652,1084
sp500_dynamic,long_high_vol_rebound,crash,0.08921797206588072,0.30204541724067013,0.5894039735099338,0.03426704213755789,906
sp500_dynamic,long_high_vol_rebound,recovery,0.07465201035216805,0.24132635988413867,0.5685483870967742,0.035609141316113604,248
sp500_dynamic,long_high_vol_rebound,trending,0.011846372854493768,0.0497003127213468,0.5014137606032045,0.010079238274281822,1061
sp500_dynamic,long_high_vol_rebound,sideways,0.011179866214984,0.04450572563273509,0.5017564402810304,0.004881190051073878,1708
sp500_dynamic,long_low_vol_quality,low_vix,-0.024712397649954296,-0.10595628106951667,0.4613361388742767,-0.009449210670357982,1901
sp500_dynamic,long_low_vol_quality,high_vix,-0.050215535955303384,-0.18092404101675244,0.46309963099630996,-0.02325996386744122,1084
sp500_dynamic,long_low_vol_quality,crash,-0.08921797206588072,-0.30204541724067013,0.4105960264900662,-0.03426119577508187,906
sp500_dynamic,long_low_vol_quality,recovery,-0.07465201035216805,-0.24132635988413867,0.4314516129032258,-0.035585812079486405,248
sp500_dynamic,long_low_vol_quality,trending,-0.011846372854493768,-0.0497003127213468,0.49858623939679547,-0.010079216418665082,1061
sp500_dynamic,long_low_vol_quality,sideways,-0.011179866214984,-0.04450572563273509,0.49824355971896955,-0.004881707438477178,1708
