variant,cagr,sharpe,max_dd,turnover_sum,max_target_gross,control_gate_violations,avg_dynamic_cap,min_dynamic_cap,cagr_vs_b3_1_delta,sharpe_vs_b3_1_delta,max_dd_vs_b3_1_delta,turnover_vs_b3_1_delta,passes_b4
b3_1_reference,0.16493518077301883,1.075059656257694,-0.3368688965923796,85.36148589282206,1.5000000000000009,0,0.9,0.9,0.0,0.0,0.0,0.0,True
b4_stress_beta_cap,0.15954492655580776,1.0729934468471234,-0.32981298175911156,83.49210546218265,1.5000000000000009,0,0.8294211777254463,0.700595238095238,-0.0053550734441922265,-0.0020065531528765668,0.007087018240888421,-1.8678945378173495,True
b4_stress_cap_trend_boost,0.16040758734033855,1.0779837699690042,-0.32981298175911145,84.118713548775,1.4999999999999998,0,0.8294211777254463,0.700595238095238,-0.004492412659661438,0.0029837699690042907,0.007087018240888532,-1.241286451224994,True
