regime,B.5 locked Sharpe,B.5 locked MaxDD,RL no-op Sharpe,RL no-op MaxDD,Trained RL Sharpe,Trained RL MaxDD
2019 bull market,2.6490983405484223,-0.05700638747711795,1.9039397683946369,-0.0791811178649866,3.1834968402110664,-0.05424034696315361
2020 COVID crash,0.43531082627134776,-0.3298129817591118,0.7619911254127432,-0.2928170412917428,0.6315804414019228,-0.24476707898072736
2021 recovery,2.4201433495965192,-0.0657093036007651,2.3187068143249254,-0.06992085184457841,1.5930075223118323,-0.0693395800072768
2022 bear market,-0.7278393653388834,-0.17112401201607153,-0.83239052365758,-0.20692891763123178,-0.6058203474393101,-0.12890942913885828
2023–2026 recovery,2.4733190628164508,-0.10553672426054506,2.084170742218202,-0.10550409778025516,2.2556386624108757,-0.09184039541091837
