universe,sleeve,sleeve_type,cagr,sharpe,max_dd,volatility,turnover_sum,avg_gross,max_gross,n_rebalances,base_vol_weight,base_trend_weight,stress_k,beta_target
sp500_dynamic,vol_top_20,volatility,0.2663543021729755,0.6391908534887902,-0.6242027946097892,0.41670543425203543,128.00000000000006,0.9993492407809113,1.0000000000000002,239,,,,
sp500_dynamic,trend_3m_6m_long_cash,trend,0.1143683901698278,1.1861869745730564,-0.14556103346354565,0.09641683193409904,110.8484336042184,1.2441555321045616,1.5000000000000004,239,,,,
sp500_dynamic,a7_1_frontier_60_40,a7_1_blend,0.2292408647811599,0.8987177271072911,-0.45171481912496025,0.25507549018646714,121.13937344168735,1.0972717573103712,1.2000000000000002,4610,0.6,0.4,0.0,
sp500_dynamic,a7_1_frontier_55_45,a7_1_blend,0.222222313453442,0.943219361288955,-0.4260954518908959,0.23559982181638472,120.28179512189836,1.1095120718765537,1.2250000000000003,4610,0.55,0.45,0.0,
sp500_dynamic,a7_1_frontier_50_50,a7_1_blend,0.21470274076311702,0.9920021511411002,-0.39947699170804574,0.21643374514475036,119.42421680210917,1.1217523864427363,1.2500000000000002,4610,0.5,0.5,0.0,
sp500_dynamic,a7_1_frontier_45_55,a7_1_blend,0.20669203030815542,1.0456559017739098,-0.3718284266228742,0.19766734922789742,118.56663848232014,1.1339927010089188,1.2750000000000004,4610,0.45,0.55,0.0,
sp500_dynamic,a7_1_frontier_40_60,a7_1_blend,0.1982005907794473,1.1046363303496634,-0.3431180578515728,0.17942610190695843,117.70906016253109,1.1462330155751015,1.3000000000000003,4610,0.4,0.6,0.0,
sp500_dynamic,a7_1_stress_60_40_k_10,a7_1_blend,0.23712430404857332,1.0314981924791868,-0.4080934251394188,0.22988339269761535,159.0084164862146,1.102501352252853,1.2472237059992264,4610,0.6,0.4,0.1,
sp500_dynamic,a7_1_stress_60_40_k_20,a7_1_blend,0.2439168392700315,1.1840465607239699,-0.36168680269276465,0.20600274293342968,197.0132086035185,1.1077309471953347,1.2944474119984526,4610,0.6,0.4,0.2,
sp500_dynamic,a7_1_stress_60_40_k_30,a7_1_blend,0.24960495682285888,1.3569629816290723,-0.3123450443915319,0.18394382175643517,235.12810323141207,1.1129605421378168,1.3416711179976788,4610,0.6,0.4,0.3,
sp500_dynamic,a7_1_stress_50_50_k_10,a7_1_blend,0.22105401680601378,1.1494438753301328,-0.35244934930245275,0.19231388461008994,157.2816451342662,1.126981981385218,1.2972237059992264,4610,0.5,0.5,0.1,
sp500_dynamic,a7_1_stress_50_50_k_20,a7_1_blend,0.22631916656670326,1.3305195274968555,-0.3024658452445873,0.17009834270714086,195.2359942746977,1.1322115763276999,1.3444474119984526,4610,0.5,0.5,0.2,
sp500_dynamic,a7_1_stress_50_50_k_30,a7_1_blend,0.22756039482830426,1.4882792048240354,-0.2641286061984197,0.15290168275596483,231.39577496485185,1.1375058521355503,1.3750000000000002,4610,0.5,0.5,0.3,
sp500_dynamic,a7_1_hedge_60_40_k_10_beta_0_7,a7_1_blend,0.2585354105192734,1.306871621410234,-0.3809806946855687,0.19782770264786226,228.6637372324793,1.0925583862478587,1.8382341324391218,4610,0.6,0.4,0.1,0.7
sp500_dynamic,a7_1_hedge_60_40_k_10_beta_0_5,a7_1_blend,0.27092165748809216,1.4980820570841027,-0.3438174965341806,0.18084567277670996,260.24117528047634,1.1309310552060572,1.9959513910837594,4610,0.6,0.4,0.1,0.5
sp500_dynamic,a7_1_hedge_60_40_k_20_beta_0_7,a7_1_blend,0.25361154336902825,1.3708218703932424,-0.35145864499527746,0.18500692821327375,238.10888317493024,1.0712676015769906,1.7135365162440932,4610,0.6,0.4,0.2,0.7
sp500_dynamic,a7_1_hedge_60_40_k_20_beta_0_5,a7_1_blend,0.26345024941089656,1.5487027749873155,-0.3202898977717267,0.1701102714257449,266.81870094855407,1.0945036659007372,1.8712537748887308,4610,0.6,0.4,0.2,0.5
sp500_dynamic,a7_1_hedge_50_50_k_10_beta_0_7,a7_1_blend,0.2322536845139187,1.329129574951892,-0.3438728675870534,0.17474119069416172,198.7549439547135,1.0885168689210536,1.6801060781391262,4610,0.5,0.5,0.1,0.7
sp500_dynamic,a7_1_hedge_50_50_k_10_beta_0_5,a7_1_blend,0.24223095311817966,1.5144562960341919,-0.3138021396627442,0.159945819336282,229.33867504915864,1.0956704363962901,1.8378233367837638,4610,0.5,0.5,0.1,0.5
sp500_dynamic,a7_1_hedge_50_50_k_20_beta_0_7,a7_1_blend,0.23075619533321778,1.4432633939974628,-0.2987781869586116,0.1598850191121964,214.45774604347957,1.0842749260875129,1.555408461944097,4610,0.5,0.5,0.2,0.7
sp500_dynamic,a7_1_hedge_50_50_k_20_beta_0_5,a7_1_blend,0.23588442868351644,1.584474134098278,-0.2884839456512027,0.14887237576633458,238.8961305771952,1.0759025776417348,1.7131257205887345,4610,0.5,0.5,0.2,0.5
