date,nav,turnover,cost,tc_drag,slippage_drag,cash_exposure
2008-01-03,50000.0,0.0,0.0,0.0,0.0,1.0
2008-01-04,50000.0,0.0,0.0,0.0,0.0,1.0
2008-01-07,50000.0,0.0,0.0,0.0,0.0,1.0
2008-01-08,49952.60106143428,0.47398938565744164,47.398938565744174,47.398938565744174,0.0,0.05112171221173241
2008-01-09,49490.09865026667,0.006445091167261167,0.637944618577888,0.637944618577888,0.0,0.053008143266329695
2008-01-10,49400.36612917728,0.009544489322565606,0.9430205354003905,0.9430205354003905,0.0,0.052350854459113
2008-01-11,49458.82788179389,0.008746817416226186,0.8652298102195621,0.8652298102195621,0.0,0.05181033210754793
2008-01-14,49773.49324471579,0.007747374174653946,0.7712397024579541,0.7712397024579541,0.0,0.05218152806385245
2008-01-15,49838.70998500105,0.011358858251720411,1.1322474064120498,1.1322474064120498,0.0,0.0516039466771887
2008-01-16,49005.49563131451,0.007034340346254377,0.6894523699003413,0.6894523699003413,0.0,0.05250839175082904
2008-01-17,48694.402541436124,0.012263271101889028,1.1943346119185552,1.1943346119185552,0.0,0.0532198175777737
2008-01-18,48175.953719197205,0.010521227209809832,1.013761642291064,1.013761642291064,0.0,0.054747916324491296
2008-01-22,47259.06136705328,0.012048440529008943,1.1388234227680158,1.1388234227680158,0.0,0.054966729494665835
2008-01-23,48350.65296572538,0.013503589969913955,1.3058500521808525,1.3058500521808525,0.0,0.055518113756385504
2008-01-24,49325.59937226188,0.01674603032201772,1.65207129675125,1.65207129675125,0.0,0.054653680205969835
2008-01-25,49887.174905713655,0.010164175513841587,1.0141446191505854,1.0141446191505854,0.0,0.054253945390589586
2008-01-28,49650.52862661185,0.006233821088343868,0.6190327426787191,0.6190327426787191,0.0,0.054874040302430684
2008-01-29,50125.0258042922,0.0036750639571592504,0.3684280593634268,0.3684280593634268,0.0,0.05417112438071336
2008-01-30,49954.27956676348,0.003916537983718924,0.39129873181777897,0.39129873181777897,0.0,0.05392759453769311
2008-01-31,49654.49463566355,0.004696350949383568,0.4663942467488467,0.4663942467488467,0.0,0.05419324304243773
2008-02-01,50437.67114229819,0.005069271236307552,0.5113696556389563,0.5113696556389563,0.0,0.05329664702581995
2008-02-04,50248.39443603381,0.01021357205174253,1.0264521615998397,1.0264521615998397,0.0,0.052225602743952
2008-02-05,49933.981401865065,0.09875816994121345,9.864725686765158,9.864725686765158,0.0,0.0948784132102059
2008-02-06,49622.89792778513,0.012793673010547513,1.269750749399503,1.269750749399503,0.0,0.09745874993748797
2008-02-07,49126.43627206522,0.0045429912749628395,0.4463659983816927,0.4463659983816927,0.0,0.09810817457764388
2008-02-08,49312.903402625234,0.006668563899317304,0.657701266648383,0.657701266648383,0.0,0.09731412293582183
2008-02-11,49764.0119684913,0.00474938234143882,0.47270112944139925,0.47270112944139925,0.0,0.0978153614849805
