policy,sharpe,cagr,max_dd,avg_tilt_magnitude,sharpe_std
B.5 locked,1.2700663337917146,0.20689367461730668,-0.3298129817591118,0.0,
RL no-op,1.2448549584994621,0.20331771026559187,-0.3298129817591119,1.458744741162315e-18,
Random bounded (50 seeds),1.3208838922870914,0.17717003772031487,-0.27037563396854386,0.014085876167171996,0.09854352786085425
Trained RL,1.2950673997440183,0.17401242386816396,-0.2490222218762157,0.011634618158455916,
