sleeve,avg_stress,p95_stress,avg_trend_weight,p95_trend_weight,avg_hedge_weight,min_hedge_weight,avg_pre_hedge_beta,avg_post_hedge_beta,avg_gross_weight,max_gross_weight
a7_1_frontier_40_60,0.36433410343905376,0.8233175118683936,0.6,0.6,0.0,0.0,0.911229713510914,0.911229713510914,1.1462330155751015,1.3000000000000003
a7_1_frontier_45_55,0.36433410343905376,0.8233175118683936,0.55,0.55,0.0,0.0,0.9951661305482099,0.9951661305482099,1.1339927010089188,1.2750000000000004
a7_1_frontier_50_50,0.36433410343905376,0.8233175118683936,0.5,0.5,0.0,0.0,1.0791025475855063,1.0791025475855063,1.1217523864427363,1.2500000000000002
a7_1_frontier_55_45,0.36433410343905376,0.8233175118683936,0.45,0.45,0.0,0.0,1.1630389646228025,1.1630389646228025,1.1095120718765537,1.2250000000000003
a7_1_frontier_60_40,0.36433410343905376,0.8233175118683936,0.4,0.4,0.0,0.0,1.2469753816600984,1.2469753816600984,1.0972717573103712,1.2000000000000002
a7_1_hedge_50_50_k_10_beta_0_5,0.36433410343905376,0.8233175118683936,0.5364334103439053,0.5823317511868393,-0.1595936022252835,-0.7804420408911191,1.0140485446837435,0.85445494245846,1.0956704363962901,1.8378233367837638
a7_1_hedge_50_50_k_10_beta_0_7,0.36433410343905376,0.8233175118683936,0.5364334103439053,0.5823317511868393,-0.09269521237607681,-0.616156326605405,1.0140485446837435,0.9213533323076667,1.0885168689210538,1.6801060781391262
a7_1_hedge_50_50_k_20_beta_0_5,0.36433410343905376,0.8233175118683936,0.5728668206878107,0.6646635023736788,-0.1261248128562088,-0.5914823747970173,0.9489945417819807,0.8228697289257719,1.0759025776417348,1.7131257205887345
a7_1_hedge_50_50_k_20_beta_0_7,0.36433410343905376,0.8233175118683936,0.5728668206878107,0.6646635023736788,-0.06882439438289012,-0.429923530585246,0.9489945417819807,0.8801701473990906,1.0842749260875129,1.555408461944097
a7_1_hedge_60_40_k_10_beta_0_5,0.36433410343905376,0.8233175118683936,0.4364334103439054,0.4823317511868394,-0.22461920434163385,-1.0106951519337755,1.1819213787583358,0.9573021744167018,1.1309310552060574,1.9959513910837594
a7_1_hedge_60_40_k_10_beta_0_7,0.36433410343905376,0.8233175118683936,0.4364334103439054,0.4823317511868394,-0.15197698275287583,-0.8472030884417121,1.1819213787583358,1.02994439600546,1.092558386247859,1.8382341324391218
a7_1_hedge_60_40_k_20_beta_0_5,0.36433410343905376,0.8233175118683936,0.4728668206878107,0.5646635023736788,-0.18830005952271192,-0.8215202291724455,1.116867375856573,0.9285673163338611,1.0945036659007372,1.8712537748887308
a7_1_hedge_60_40_k_20_beta_0_7,0.36433410343905376,0.8233175118683936,0.4728668206878107,0.5646635023736788,-0.11919901681128534,-0.6593934880822262,1.116867375856573,0.9976683590452876,1.0712676015769906,1.7135365162440932
a7_1_stress_50_50_k_10,0.36433410343905376,0.8233175118683936,0.5364334103439053,0.5823317511868393,0.0,0.0,1.0140485446837435,1.0140485446837435,1.126981981385218,1.2972237059992264
a7_1_stress_50_50_k_20,0.36433410343905376,0.8233175118683936,0.5728668206878107,0.6646635023736788,0.0,0.0,0.9489945417819807,0.9489945417819807,1.1322115763276999,1.3444474119984526
a7_1_stress_50_50_k_30,0.36433410343905376,0.8233175118683936,0.6080824218967034,0.7469952535605181,0.0,0.0,0.886358364003188,0.886358364003188,1.1375058521355503,1.3750000000000002
a7_1_stress_60_40_k_10,0.36433410343905376,0.8233175118683936,0.4364334103439054,0.4823317511868394,0.0,0.0,1.1819213787583358,1.1819213787583358,1.102501352252853,1.2472237059992264
a7_1_stress_60_40_k_20,0.36433410343905376,0.8233175118683936,0.4728668206878107,0.5646635023736788,0.0,0.0,1.116867375856573,1.116867375856573,1.107730947195335,1.2944474119984526
a7_1_stress_60_40_k_30,0.36433410343905376,0.8233175118683936,0.5093002310317161,0.6469952535605181,0.0,0.0,1.0518133729548103,1.0518133729548103,1.1129605421378166,1.3416711179976788
