date,stress_score,vol_sleeve_weight,trend_sleeve_weight,gross_target,selected_names
2008-01-02,0.5651246579574709,0.3304626026127587,0.6695373973872413,0.0,0
2008-01-03,0.5530765491039549,0.3340770352688136,0.6659229647311864,0.0,0
2008-01-04,0.6139050819639204,0.31582847541082393,0.6841715245891761,0.0,0
2008-01-07,0.6117176537385769,0.316484703878427,0.683515296121573,0.9479787713148833,22
2008-01-08,0.6554763801139221,0.30335708596582345,0.6966429140341766,0.9469796498359675,22
2008-01-09,0.62694661698729,0.31191601490381293,0.6880839850961871,0.9476310558865844,22
2008-01-10,0.6032074501271396,0.3190377649618581,0.6809622350381419,0.9481730806086501,22
2008-01-11,0.6193815330585284,0.3141855400824415,0.6858144599175585,0.947803785727444,22
2008-01-14,0.5943854968096083,0.32168435095711756,0.6783156490428824,0.9483745079301386,22
2008-01-15,0.6336378483207477,0.3099086455037757,0.6900913544962243,0.9474782782922757,22
2008-01-16,0.6652295204988495,0.3004311438503451,0.6995688561496549,0.9467569611781244,22
2008-01-17,0.7320100911198514,0.2803969726640446,0.7196030273359554,0.9452321932516229,22
2008-01-18,0.7417197164765346,0.2774840850570397,0.7225159149429603,0.9450104981510188,22
2008-01-22,0.7659886095272121,0.2702034171418364,0.7297965828581636,0.944456378451363,22
2008-01-23,0.7283983571218975,0.2814804928634308,0.7185195071365692,0.945314658197758,22
2008-01-24,0.7103464221260771,0.2868960733621768,0.7131039266378232,0.9457268291516292,22
2008-01-25,0.737178907672198,0.2788463276983406,0.7211536723016594,0.9451141762052921,22
2008-01-28,0.7061815487976102,0.28814553536071696,0.711854464639283,0.9458219236560655,22
2008-01-29,0.6955357122973834,0.291339286310785,0.708660713689215,0.9460649948052844,22
2008-01-30,0.7072348881509338,0.28782953355471985,0.7121704664452801,0.9457978732766403,22
2008-01-31,0.6679977838685852,0.2996006648394245,0.7003993351605755,0.9466937547820269,22
2008-02-01,0.6215165939617437,0.3135450218114769,0.6864549781885231,0.9477550369318575,22
2008-02-04,0.6602028437235745,0.30193914688292767,0.6980608531170723,0.9049428104868229,22
2008-02-05,0.7195550466801458,0.2841334859959562,0.7158665140040438,0.9025181564272486,22
2008-02-06,0.7350873617972269,0.27947379146083196,0.720526208539168,0.9018836308489679,22
2008-02-07,0.7157441797177541,0.2852767460846738,0.7147232539153262,0.9026738378272736,22
2008-02-08,0.7279288803508984,0.2816213358947305,0.7183786641052695,0.9021760688754378,22
2008-02-11,0.7146950086412095,0.2855914974076371,0.7144085025923629,0.9027166985263413,22
2008-02-12,0.6919932475229026,0.29240202574312923,0.7075979742568708,0.903644110054693,22
2008-02-13,0.6583678234370003,0.30248965296889996,0.6975103470311,0.9050177746695424,22
2008-02-14,0.6796493326623605,0.29610520020129183,0.7038947997987082,0.904148383220418,22
