sleeve,universe,blend_vol_top_10_defensive_stability_top_30_beta_0_6_40_60,blend_vol_top_10_defensive_stability_top_30_beta_0_6_50_50,blend_vol_top_10_defensive_stability_top_30_beta_0_6_60_40,blend_vol_top_10_defensive_stability_top_30_beta_0_6_70_30,blend_vol_top_10_defensive_stability_top_30_beta_0_8_40_60,blend_vol_top_10_defensive_stability_top_30_beta_0_8_50_50,blend_vol_top_10_defensive_stability_top_30_beta_0_8_60_40,blend_vol_top_10_defensive_stability_top_30_beta_0_8_70_30,blend_vol_top_10_defensive_stability_top_30_equal_weight_40_60,blend_vol_top_10_defensive_stability_top_30_equal_weight_50_50,blend_vol_top_10_defensive_stability_top_30_equal_weight_60_40,blend_vol_top_10_defensive_stability_top_30_equal_weight_70_30,blend_vol_top_10_defensive_stability_top_50_beta_0_6_40_60,blend_vol_top_10_defensive_stability_top_50_beta_0_6_50_50,blend_vol_top_10_defensive_stability_top_50_beta_0_6_60_40,blend_vol_top_10_defensive_stability_top_50_beta_0_6_70_30,blend_vol_top_10_defensive_stability_top_50_beta_0_8_40_60,blend_vol_top_10_defensive_stability_top_50_beta_0_8_50_50,blend_vol_top_10_defensive_stability_top_50_beta_0_8_60_40,blend_vol_top_10_defensive_stability_top_50_beta_0_8_70_30,blend_vol_top_10_defensive_stability_top_50_equal_weight_40_60,blend_vol_top_10_defensive_stability_top_50_equal_weight_50_50,blend_vol_top_10_defensive_stability_top_50_equal_weight_60_40,blend_vol_top_10_defensive_stability_top_50_equal_weight_70_30,blend_vol_top_20_defensive_stability_top_30_beta_0_6_40_60,blend_vol_top_20_defensive_stability_top_30_beta_0_6_50_50,blend_vol_top_20_defensive_stability_top_30_beta_0_6_60_40,blend_vol_top_20_defensive_stability_top_30_beta_0_6_70_30,blend_vol_top_20_defensive_stability_top_30_beta_0_8_40_60,blend_vol_top_20_defensive_stability_top_30_beta_0_8_50_50,blend_vol_top_20_defensive_stability_top_30_beta_0_8_60_40,blend_vol_top_20_defensive_stability_top_30_beta_0_8_70_30,blend_vol_top_20_defensive_stability_top_30_equal_weight_40_60,blend_vol_top_20_defensive_stability_top_30_equal_weight_50_50,blend_vol_top_20_defensive_stability_top_30_equal_weight_60_40,blend_vol_top_20_defensive_stability_top_30_equal_weight_70_30,blend_vol_top_20_defensive_stability_top_50_beta_0_6_40_60,blend_vol_top_20_defensive_stability_top_50_beta_0_6_50_50,blend_vol_top_20_defensive_stability_top_50_beta_0_6_60_40,blend_vol_top_20_defensive_stability_top_50_beta_0_6_70_30,blend_vol_top_20_defensive_stability_top_50_beta_0_8_40_60,blend_vol_top_20_defensive_stability_top_50_beta_0_8_50_50,blend_vol_top_20_defensive_stability_top_50_beta_0_8_60_40,blend_vol_top_20_defensive_stability_top_50_beta_0_8_70_30,blend_vol_top_20_defensive_stability_top_50_equal_weight_40_60,blend_vol_top_20_defensive_stability_top_50_equal_weight_50_50,blend_vol_top_20_defensive_stability_top_50_equal_weight_60_40,blend_vol_top_20_defensive_stability_top_50_equal_weight_70_30,defensive_stability_top_30_beta_0_6,defensive_stability_top_30_beta_0_8,defensive_stability_top_30_equal_weight,defensive_stability_top_50_beta_0_6,defensive_stability_top_50_beta_0_8,defensive_stability_top_50_equal_weight,vol_top_10,vol_top_20
blend_vol_top_10_defensive_stability_top_30_beta_0_6_40_60,sp100_sample,1.0,0.9968001178000656,0.9888679441655464,0.9781449691642348,0.9910487735875283,0.9864176631482802,0.9792869142870558,0.9705468393498085,0.9831043026668329,0.9785676141828318,0.9724196937040458,0.965173948060829,0.9953738144915059,0.9931281576200212,0.9861118277937528,0.9762225975208026,0.9901740919328647,0.9854674306587543,0.978416778083831,0.9698486048599595,0.9819549754727546,0.9767689864672738,0.9704449449432889,0.9633777818493756,0.9865135496826511,0.9909015851414903,0.9910936053986965,0.9881393564776377,0.9845558375013809,0.985165489066196,0.9840321881944656,0.981495676232301,0.9808575671402097,0.980572507836721,0.9793807052310813,0.9774255025224279,0.9816813898703509,0.9868959196700847,0.9879524623658718,0.9858551576831326,0.9841415819945603,0.9845247414000801,0.98332858425699,0.9808544109756385,0.9817889373700016,0.9806136407012231,0.9788859090348826,0.976701160893316,0.9021256032511005,0.9564073044486435,0.9694932382503337,0.8957849408303555,0.9594465314223414,0.9785299392584766,0.9403038788346649,0.9681736064709792
blend_vol_top_10_defensive_stability_top_30_beta_0_6_50_50,sp100_sample,0.9968001178000656,1.0,0.9975976016173951,0.9916353282644101,0.9949259798530439,0.9947767458001782,0.991620343503949,0.9863995513752793,0.9912889277387309,0.9901658067109516,0.9870909685115807,0.9826103727361455,0.993344827458455,0.9972120191252947,0.9954833254081276,0.9901514043268428,0.9946514512261744,0.9942753505485104,0.9910721059444613,0.9859179011353456,0.9916673151924421,0.9895695008535261,0.9860217879446921,0.9814524933024155,0.9728392985587733,0.982296066961056,0.9871303025967261,0.9883986042547197,0.9793799061501626,0.9831127631606754,0.9848984698827955,0.9850829300618348,0.9807948213991076,0.9825555443699886,0.9833005726145215,0.9831768182425168,0.9693345414871338,0.9793266337261292,0.9847643753291648,0.986657879199648,0.9796751586084635,0.9830290468141678,0.9846135931464847,0.9847362126973782,0.9833849343023967,0.9839440188567742,0.9838542661335509,0.9832161464842262,0.8647492854079217,0.9367400777164151,0.9601250875346313,0.8611211346781563,0.9412112691748923,0.9721331479119559,0.9644996096690039,0.9788309369464052
blend_vol_top_10_defensive_stability_top_30_beta_0_6_60_40,sp100_sample,0.9888679441655464,0.9975976016173951,1.0,0.9981944324704641,0.9931368432519575,0.9968725861807206,0.9971768754814417,0.995033079709058,0.9932516264200727,0.9950926760885538,0.9946970293792925,0.9926360319930082,0.9864452896632268,0.9955901481140029,0.9984529152031285,0.9970981680578938,0.9933838562721249,0.9967627693678641,0.9969104478476924,0.9947416243669656,0.9949520447818889,0.9955414450526803,0.9944181903631683,0.9920373145462674,0.955953555601354,0.9697541819394035,0.9785865595797933,0.9835077577425649,0.9698253549627516,0.9762456088737692,0.9805518226518843,0.9830934504191757,0.9756642740632218,0.9791888553138915,0.9816085762117498,0.9830726814988631,0.9536173272026696,0.9676981647367298,0.9769047157240341,0.9822470417980291,0.9707339722537263,0.9766450753146964,0.9806313089761818,0.9830037965531718,0.9796785259843033,0.9817378131991995,0.9830680744927085,0.9837736383777839,0.8278816450991053,0.9148473745011254,0.9470370167143827,0.8266230621556998,0.9205364326988813,0.9615580481831625,0.9804769346196949,0.9830010754459952
blend_vol_top_10_defensive_stability_top_30_beta_0_6_70_30,sp100_sample,0.9781449691642348,0.9916353282644101,0.9981944324704641,1.0,0.9877236508134803,0.9948133756606792,0.9981171094547311,0.9986495909281183,0.9910910544723472,0.9954950593179476,0.9974239712729843,0.9974689255881494,0.9766270927536409,0.9903124451014763,0.9971451527212519,0.9992441226348981,0.9884219112758779,0.9950435079375842,0.9980960640036297,0.9985241793520423,0.993931140909836,0.9968482259269004,0.9978314902056852,0.9973573633811981,0.9375952881135095,0.9551086355363855,0.9673732972462858,0.9754426398450433,0.9577697298977002,0.9664951528046802,0.972970052684668,0.9775456031656131,0.9674218212385512,0.9724620680447067,0.9763244388877319,0.9791596206903066,0.9362813289905116,0.953852599979869,0.9662911348548036,0.9746030230776072,0.9592066381466572,0.9673120144204904,0.9733651546064728,0.9776791874405345,0.9726552775541553,0.9760073229754634,0.9785636489823899,0.9804315236549606,0.7926958901727613,0.8923076164802085,0.9320062321485101,0.7934967591273002,0.8990305159639165,0.9486496943322877,0.9905175620826209,0.9827943467867152
blend_vol_top_10_defensive_stability_top_30_beta_0_8_40_60,sp100_sample,0.9910487735875283,0.9949259798530439,0.9931368432519575,0.9877236508134803,1.0,0.9982003435504476,0.993560653956394,0.987010560946133,0.9943690065385434,0.9920616772885468,0.9879084591975752,0.9824473340269587,0.9888683715066228,0.9931260792904157,0.9917573576342611,0.9867524800744906,0.9969022844668803,0.9954811943935449,0.9913399425919516,0.9853456645176091,0.9930794052863429,0.9901406018333928,0.9858300700822141,0.9805688679115284,0.9711501587675606,0.982084451572355,0.9882630785500449,0.9907470375227065,0.989083948688647,0.9919830435252978,0.9929751189504719,0.9924072922894985,0.9881439631449165,0.9895320546769032,0.9899173996672068,0.9894473362303762,0.9690069990103392,0.9801927121784756,0.9867147261804521,0.9895874102555883,0.9862875262438803,0.9894085276597127,0.9907651963493026,0.990666379130087,0.9889363759975698,0.9894579161318506,0.989329194872122,0.988651134964481,0.856004104689799,0.9500988709156002,0.9690744570066752,0.8550474501787771,0.9487572762382052,0.977808306142002,0.9618970748074078,0.9841437438157468
blend_vol_top_10_defensive_stability_top_30_beta_0_8_50_50,sp100_sample,0.9864176631482802,0.9947767458001782,0.9968725861807206,0.9948133756606792,0.9982003435504476,1.0,0.9985669675952273,0.9948683467359851,0.9961277133224363,0.9965498454342248,0.9948637756242183,0.9916308344257106,0.9848267024055669,0.9934170414358898,0.9958093429227056,0.9940560739129052,0.9961391750677284,0.9980797382989524,0.9969373083090768,0.9936138601642014,0.9962986709174352,0.9957839757320924,0.993660096063656,0.990372306635944,0.9581498766550806,0.9724091083083785,0.9816483400532614,0.9869288510133087,0.9797942940461668,0.9851206587715093,0.988390408765571,0.9899536413849102,0.983055419877916,0.9859989483871604,0.9878616310675616,0.9887927802929323,0.9566912916626953,0.9710494658058826,0.9804961541035864,0.9860455650086578,0.9781687639474315,0.9834800438063996,0.9868945073418431,0.988724036949536,0.9854230888275115,0.9872073867938677,0.9882741739263604,0.9887275809081247,0.8277138089711624,0.9296822918614089,0.9569759516082511,0.8281671231177407,0.9305992521571338,0.968516944166248,0.9765617518386298,0.9872633344335212
blend_vol_top_10_defensive_stability_top_30_beta_0_8_60_40,sp100_sample,0.9792869142870558,0.991620343503949,0.9971768754814417,0.9981171094547311,0.993560653956394,0.9985669675952273,1.0,0.9988573523250456,0.9946699045515457,0.9975266006776181,0.9980474064508952,0.9968127835582522,0.9782268224015508,0.9906576146903249,0.9963990869617847,0.9975529718304732,0.9924307928577578,0.9973654910446986,0.9989027646487194,0.9979729393807858,0.9961437857567874,0.9977939961352366,0.9976280000202395,0.9961113306864119,0.9436361557082243,0.9608193197080379,0.972761841004252,0.9805220244329254,0.968526260367691,0.9760026006352048,0.981295073413777,0.9847553715430029,0.975526663471131,0.9798493613533891,0.9830248002337866,0.9852036005951815,0.9427929369752203,0.9599386672919503,0.9719667065432177,0.979888037415077,0.9679506071689506,0.9752004106847272,0.9804409304517777,0.9839858100596267,0.9792929390173513,0.9821987343940578,0.9843291842583008,0.9857909656819834,0.799951264099066,0.908636577836205,0.9432705688470653,0.8016614956609853,0.9115663484126134,0.9572816597613948,0.9866810511876738,0.9870469557823321
blend_vol_top_10_defensive_stability_top_30_beta_0_8_70_30,sp100_sample,0.9705468393498085,0.9863995513752793,0.995033079709058,0.9986495909281183,0.987010560946133,0.9948683467359851,0.9988573523250456,1.0,0.9909585981051928,0.9959824812415851,0.9984728027824391,0.9990257027665365,0.969963390298622,0.9857936605513519,0.9945120912071311,0.998259318694634,0.9867151100895541,0.9943116679450531,0.9982382384940207,0.9994482114614752,0.9935924419225964,0.9971719522931292,0.9987547815253104,0.9988234264296397,0.92838932071756,0.9481419819490736,0.9624696574913798,0.9724254324854783,0.9561175861535651,0.9654957806085702,0.9725817588372087,0.9777277865423455,0.9664402697590859,0.9719841181258574,0.9763241784857839,0.9796118746267863,0.9280976770861216,0.9476912090756902,0.9619953021795327,0.9720156094451439,0.9564808852904375,0.9654442616270605,0.9723027861239522,0.9773709153857316,0.971446401421134,0.975346674108415,0.9784218321073102,0.9807805680467792,0.7732210624404304,0.8876413440882054,0.9287464791622475,0.7760495997736221,0.892361491419298,0.9449294697868782,0.9933276507418082,0.9844627331048212
blend_vol_top_10_defensive_stability_top_30_equal_weight_40_60,sp100_sample,0.9831043026668329,0.9912889277387309,0.9932516264200727,0.9910910544723472,0.9943690065385434,0.9961277133224363,0.9946699045515457,0.9909585981051928,1.0,0.9988001630469606,0.9956377927677776,0.9910630987391755,0.9812089556415873,0.9896937938411731,0.9920134703212439,0.9902117169434996,0.9927327973787116,0.9945436438876,0.9932954046936083,0.9898856701743051,0.9979642799163049,0.9962818887508114,0.993099342052579,0.9888517023356607,0.9581575763388955,0.9728287415920834,0.9824409548173263,0.9880572220152024,0.9789527194022831,0.984828220695111,0.9886110858977778,0.9906525193919091,0.9904302551374019,0.992352788148467,0.9932419477269879,0.9932463420182946,0.9563502041277759,0.9711895906856272,0.9810741896912876,0.9870197159992344,0.9777682743718448,0.9835405243396053,0.9873860096711743,0.9896176508666006,0.9904131161863133,0.9916218415401096,0.9921415788976328,0.9920753375229164,0.8257236652565275,0.9262910306457208,0.9689000756221874,0.8255223849340058,0.9280554325326997,0.9761107429354626,0.9726582589766835,0.9892042847603086
blend_vol_top_10_defensive_stability_top_30_equal_weight_50_50,sp100_sample,0.9785676141828318,0.9901658067109516,0.9950926760885538,0.9954950593179476,0.9920616772885468,0.9965498454342248,0.9975266006776181,0.9959824812415851,0.9988001630469606,1.0,0.9990123859996194,0.9964065203788942,0.9771839476712028,0.9889547691120731,0.9941318016240688,0.9948040815297265,0.9911258941628455,0.9955043968725164,0.9965496331496625,0.9951848979718364,0.9983248094757481,0.99871889768204,0.9974134167774144,0.9948630903562751,0.9466506894896091,0.9637285612198547,0.9755641840623999,0.9832185753198133,0.9703917942668073,0.9779818279870223,0.9833770115411915,0.9869299676228097,0.9833482243533348,0.986653504699378,0.9888583878978996,0.9901128619730586,0.9454359293585155,0.9625521551059615,0.9745435289934522,0.9824235699132138,0.9700053703730868,0.9773310006299656,0.9826390724657454,0.98624404739956,0.9850111893401908,0.9872912722963735,0.9888268327951736,0.9897233583177155,0.8032834777267596,0.9099218205258252,0.9556193760183692,0.8042835881853161,0.9132191893990447,0.9658279128022695,0.9828644836621009,0.9894482827447368
