date,score,long_ret,short_ret,ls_ret,spy_ret,long_beta,short_beta,ls_beta,long_alpha,ls_alpha,n_long,n_short,roll_12m_beta,roll_12m_alpha,roll_6m_beta,roll_6m_alpha
2016-01-04,score_50_50,-0.05820928975006701,0.0007124722920177351,-0.05892176204208475,-0.04835339631374724,0.3996943425045655,0.8305703566978943,-0.43087601419332877,-0.03888271080258113,-0.07975608071846256,13,12,,,,
2016-02-03,score_50_50,0.07904409072473494,0.011164055305339945,0.067880035419395,0.04772616560542242,1.2785087682857523,0.6659735535147184,0.6125352147710339,0.018025769521544478,0.038646078320079644,12,12,,,,
2016-03-04,score_50_50,0.026080628968742442,0.03964004486183434,-0.013559415893091897,0.02401368134031312,1.366971357860698,0.5024263689087317,0.8645449889519662,-0.006745385620259489,-0.03432032376214894,12,12,,,,
2016-04-05,score_50_50,0.03533372904860002,0.004470025075621775,0.030863703972978246,0.004015909535298068,0.8379518621032823,0.46904980524550166,0.36890205685778066,0.03196859017545868,0.029382226685252016,12,12,,,,
2016-05-04,score_50_50,0.011981461056148696,0.011972293811522048,9.16724462664796e-06,0.025706353077718846,0.8422297292062941,0.5609842737648317,0.2812454554414624,-0.009669193735379833,-0.007220627734455427,12,12,,,,
2016-06-03,score_50_50,-0.020315132753598964,0.048457449244574236,-0.0687725819981732,-0.003738944209479289,0.5954106770603339,0.6810871847839667,-0.08567650772363278,-0.018088925450342085,-0.06909292168061489,12,12,1.185669677940663,-0.2020741828974138,1.185669677940663,-0.2020741828974138
2016-07-05,score_50_50,0.04402567965535508,-0.018675570567158243,0.06270125022251333,0.03728217159613467,0.4467155639172053,0.5343930618731038,-0.08767749795589846,0.02737115334672977,0.06597005774642488,12,13,1.32758760483237,-0.1625788206704564,2.0303042556897037,-0.3899595023456721
2016-08-03,score_50_50,0.02424160566700903,-0.024549897370896957,0.048791503037905984,0.005597140442346049,0.478013634722459,0.4096729018168739,0.06834073290558512,0.021566096220111124,0.04840899035790056,12,12,1.2753793802292013,-0.07299101382421595,1.3883901648609476,-0.13782986248077767
2016-09-01,score_50_50,-0.0051494190093714365,0.005517944247888494,-0.010667363257259931,-0.002391645882878435,0.4192542336201779,0.4604057308495255,-0.04115149722934763,-0.004146711347654384,-0.010765783066182784,12,12,1.278340574716301,-0.07539182485060018,1.6796122991011586,-0.09743960795260703
2016-10-03,score_50_50,0.02576520318593825,-0.024147218810561626,0.04991242199649988,-0.022106164558493013,-0.11670886880925213,0.8526480539783668,-0.969356922787619,0.02318521772660535,0.02848365834544237,12,12,0.946035370875654,0.052970232315680925,0.5342399820269441,0.12083679208859593
2016-11-01,score_50_50,0.03810270711830919,0.024816029272978074,0.013286677845331114,0.040566863936732034,0.041749764293125304,0.8760893971791823,-0.8343396328860571,0.03640905011083934,0.047133220209642744,14,12,0.8378502105580826,0.033566470573568055,0.47355248337061434,0.13821469854642196
2016-12-01,score_50_50,0.06289595389408231,0.03095213239105469,0.031943821503027624,0.03186950328976779,1.0253489425458724,0.9300113852926049,0.09533755725326754,0.03021859239645671,0.028905460908506188,12,13,0.843444008101871,0.03522703488942573,0.038617286439570096,0.3849223433876511
2017-01-03,score_50_50,0.03829510595063367,-0.004429027596475353,0.04272413354710902,0.011232482348468631,0.3347503501666571,0.9602980834527043,-0.6255477332860472,0.034535028551243005,0.04975058741936911,12,12,0.5318319931802606,0.14886740616468222,-0.2553889550108456,0.38506454474493734
2017-02-02,score_50_50,0.041397428336301306,0.040206459065521644,0.0011909692707796626,0.04364073337891128,0.1422573347846492,0.9518856987743239,-0.8096283639896747,0.03518921391776991,0.036523744839657195,12,13,0.1291134875774469,0.16315831645159032,-0.34717275829868977,0.3281682151084646
2017-03-06,score_50_50,0.010056316639287235,0.0037141535945670323,0.006342163044720203,-0.005071882774958847,0.6009626021647955,0.8867334454611081,-0.28577084329631264,0.013104328509601307,0.004892766827020171,12,12,0.21523813579527504,0.17246665056781374,-0.41669113451201667,0.3742482207711481
2017-04-04,score_50_50,-0.015022876641522482,0.025668301299496783,-0.040691177941019264,0.01392929345313787,0.7721632671278115,0.6768831909559481,0.0952800761718634,-0.025778565383079453,-0.04201836208225448,13,12,0.258538521413747,0.09113482366470654,0.13524832373346635,0.0727604592667737
2017-05-04,score_50_50,0.022607264190930298,0.025706852548900233,-0.0030995883579699353,0.021904620259284524,0.6903941104819807,0.7192318224216514,-0.028837711939670663,0.007484443371575984,-0.002467909228784814,12,12,0.2664252118672888,0.08764681923798096,0.09054776520554586,0.05554105711444161
2017-06-05,score_50_50,0.04534661538709452,-0.028544505788458057,0.07389112117555258,-0.00014806398585509584,0.1193131928049338,0.47465281853667546,-0.35533962573174166,0.04536428137398632,0.07383850817423447,12,12,-0.23655472814685535,0.3180317256163046,-0.8535945776314533,0.3066580326618926
2017-07-05,score_50_50,-0.00039367340790379585,0.0340842465496476,-0.034477919957551395,0.017259185834763713,-0.2803242742951024,0.5985324649949858,-0.8788567392900882,0.004444495336150654,-0.01930956817200928,12,12,-0.5554819590128938,0.265958629943644,-0.8425416433931507,0.16051965455500697
2017-08-03,score_50_50,-0.014217141163976746,0.019021402111688124,-0.03323854327566487,0.003563393720190433,-0.3860843940643058,0.5562927720483012,-0.942377166112607,-0.01284137045870447,-0.029880482399888348,12,12,-0.38648562989346685,0.15673147432964876,-1.973270553524206,0.1404485545688914
2017-09-01,score_50_50,0.053453485885916474,0.01687259334377007,0.0365808925421464,0.025318195262070464,-0.47199225457944527,0.5740587962233867,-1.046051050802832,0.06540347794954374,0.06306501730046649,12,12,-0.4097029649448921,0.2189137691080775,-0.8220716860951265,0.13246427078303394
2017-10-03,score_50_50,0.02714412789378125,0.020284363656765374,0.0068597642370158765,0.01831059689280856,-0.40746192211801785,0.7251922140107713,-1.1326541361287892,0.03460499889885323,0.02759933754264245,12,12,-0.05007616629717779,0.1124479971886077,-0.7743493125370606,0.22654155226522507
2017-11-01,score_50_50,0.029112635079360183,0.03414401123326702,-0.005031376153906836,0.027068894088208895,-0.36727715001321243,0.876178557234558,-1.2434557072477703,0.03905442135408704,0.028627594688961942,12,12,-0.17394546806503872,0.11932745877731331,-0.7766251475899365,0.23109177657119795
2017-12-01,score_50_50,0.016413074248988257,0.04037856457519923,-0.02396549032621097,0.027953277384741737,0.10029004656117053,1.0091336162882916,-0.908843569727121,0.013609638758535193,0.0014396660777101118,12,12,-0.5301074275036987,0.13573615093087532,1.4051006116529723,-0.44229004307329833
2018-01-03,score_50_50,0.075547748033663,0.027828852281960515,0.04771889575170249,0.01841245252508772,0.1492687396767979,1.0692180567456049,-0.919949317068807,0.07279934445088428,0.06465741887771877,12,12,-0.39230135082081585,0.11530279162952292,1.0176463152901547,-0.18766257163498443
2018-02-02,score_50_50,-0.02493488555845134,-0.0008216504251435294,-0.024113235133307813,-0.009330303415178265,0.05310468089000827,1.0433988906553069,-0.9902942097652986,-0.024439402772981345,-0.03335298058071224,12,12,-0.0726620478093064,0.01834109899530692,0.6782303586196086,-0.07003683353976883
