cost_bps,cagr,sharpe,max_dd,beats_equal_weight,passes_sharpe_gate
10.0,0.16040758734033855,1.0779837699690042,-0.32981298175911145,True,True
25.0,0.15241255499608042,1.024001090493697,-0.32981298175911156,True,True
50.0,0.13918721454256544,0.9339481977946715,-0.3298129817591118,True,True
