universe,sleeve,cagr,sharpe,max_dd,equal_weight_sharpe,trend_crisis_corr_vs_vol,passes_gate
sp500_dynamic,a7_1_frontier_60_40,0.2292408647811599,0.8987177271072911,-0.45171481912496025,0.7783994036245333,-0.11509571654720092,False
sp500_dynamic,a7_1_frontier_55_45,0.222222313453442,0.943219361288955,-0.4260954518908959,0.7783994036245333,-0.11509571654720092,False
sp500_dynamic,a7_1_frontier_50_50,0.21470274076311702,0.9920021511411002,-0.39947699170804574,0.7783994036245333,-0.11509571654720092,True
sp500_dynamic,a7_1_frontier_45_55,0.20669203030815542,1.0456559017739098,-0.3718284266228742,0.7783994036245333,-0.11509571654720092,True
sp500_dynamic,a7_1_frontier_40_60,0.1982005907794473,1.1046363303496634,-0.3431180578515728,0.7783994036245333,-0.11509571654720092,True
sp500_dynamic,a7_1_stress_60_40_k_10,0.23712430404857332,1.0314981924791868,-0.4080934251394188,0.7783994036245333,-0.11509571654720092,False
sp500_dynamic,a7_1_stress_60_40_k_20,0.2439168392700315,1.1840465607239699,-0.36168680269276465,0.7783994036245333,-0.11509571654720092,True
sp500_dynamic,a7_1_stress_60_40_k_30,0.24960495682285888,1.3569629816290723,-0.3123450443915319,0.7783994036245333,-0.11509571654720092,True
sp500_dynamic,a7_1_stress_50_50_k_10,0.22105401680601378,1.1494438753301328,-0.35244934930245275,0.7783994036245333,-0.11509571654720092,True
sp500_dynamic,a7_1_stress_50_50_k_20,0.22631916656670326,1.3305195274968555,-0.3024658452445873,0.7783994036245333,-0.11509571654720092,True
sp500_dynamic,a7_1_stress_50_50_k_30,0.22756039482830426,1.4882792048240354,-0.2641286061984197,0.7783994036245333,-0.11509571654720092,True
sp500_dynamic,a7_1_hedge_60_40_k_10_beta_0_7,0.2585354105192734,1.306871621410234,-0.3809806946855687,0.7783994036245333,-0.11509571654720092,True
sp500_dynamic,a7_1_hedge_60_40_k_10_beta_0_5,0.27092165748809216,1.4980820570841027,-0.3438174965341806,0.7783994036245333,-0.11509571654720092,True
sp500_dynamic,a7_1_hedge_60_40_k_20_beta_0_7,0.25361154336902825,1.3708218703932424,-0.35145864499527746,0.7783994036245333,-0.11509571654720092,True
sp500_dynamic,a7_1_hedge_60_40_k_20_beta_0_5,0.26345024941089656,1.5487027749873155,-0.3202898977717267,0.7783994036245333,-0.11509571654720092,True
sp500_dynamic,a7_1_hedge_50_50_k_10_beta_0_7,0.2322536845139187,1.329129574951892,-0.3438728675870534,0.7783994036245333,-0.11509571654720092,True
sp500_dynamic,a7_1_hedge_50_50_k_10_beta_0_5,0.24223095311817966,1.5144562960341919,-0.3138021396627442,0.7783994036245333,-0.11509571654720092,True
sp500_dynamic,a7_1_hedge_50_50_k_20_beta_0_7,0.23075619533321778,1.4432633939974628,-0.2987781869586116,0.7783994036245333,-0.11509571654720092,True
sp500_dynamic,a7_1_hedge_50_50_k_20_beta_0_5,0.23588442868351644,1.584474134098278,-0.2884839456512027,0.7783994036245333,-0.11509571654720092,True
