universe,vol_sleeve,defensive_sleeve,full_correlation,avg_rolling_252d_correlation,crisis_correlation
sp100_sample,vol_top_10,defensive_stability_top_30_beta_0_6,0.7014262187213737,0.6751573921226239,0.7520040452052772
sp100_sample,vol_top_10,defensive_stability_top_30_beta_0_8,0.8286068031000622,0.8084218629661659,0.8625786499763812
sp100_sample,vol_top_10,defensive_stability_top_30_equal_weight,0.8849400742764423,0.8480548136049638,0.9281889999923225
sp100_sample,vol_top_10,defensive_stability_top_50_beta_0_6,0.7069267068142574,0.684008869472342,0.7527539813334734
sp100_sample,vol_top_10,defensive_stability_top_50_beta_0_8,0.8376028620188819,0.8252955397464586,0.8630909110200717
sp100_sample,vol_top_10,defensive_stability_top_50_equal_weight,0.9062115516557614,0.8842896050978439,0.9345555429915736
sp100_sample,vol_top_20,defensive_stability_top_30_beta_0_6,0.7991649282016323,0.7810394597990171,0.8338580968722257
sp100_sample,vol_top_20,defensive_stability_top_30_beta_0_8,0.9095924480960826,0.8984626027758933,0.931093635186683
sp100_sample,vol_top_20,defensive_stability_top_30_equal_weight,0.9512099202873969,0.9297585920344333,0.9745290722609841
sp100_sample,vol_top_20,defensive_stability_top_50_beta_0_6,0.8042848417475198,0.7895064711792746,0.8349173634950112
sp100_sample,vol_top_20,defensive_stability_top_50_beta_0_8,0.9173793144532637,0.9129244741610749,0.93172552770499
sp100_sample,vol_top_20,defensive_stability_top_50_equal_weight,0.9669799771202383,0.9567015881602924,0.9795578871715531
sp500_dynamic,vol_top_10,defensive_stability_top_30_beta_0_6,0.5633159031853983,0.5461846729622984,0.6447360717541878
sp500_dynamic,vol_top_10,defensive_stability_top_30_beta_0_8,0.6682070924373512,0.6530562564234442,0.7359818790380721
sp500_dynamic,vol_top_10,defensive_stability_top_30_equal_weight,0.6500139668480802,0.6277475987377119,0.7302132896715424
sp500_dynamic,vol_top_10,defensive_stability_top_50_beta_0_6,0.5711496742505607,0.5583349558049833,0.642915630449577
sp500_dynamic,vol_top_10,defensive_stability_top_50_beta_0_8,0.6806653175517442,0.6704628161527956,0.7388061564790103
sp500_dynamic,vol_top_10,defensive_stability_top_50_equal_weight,0.6653474892037244,0.6467033152736286,0.7389041124304596
sp500_dynamic,vol_top_20,defensive_stability_top_30_beta_0_6,0.6152917529536437,0.5966399019474916,0.7002935589923512
sp500_dynamic,vol_top_20,defensive_stability_top_30_beta_0_8,0.7254563228583708,0.7084970602191785,0.7970266020682742
sp500_dynamic,vol_top_20,defensive_stability_top_30_equal_weight,0.7060429887654789,0.6830530061928042,0.7907234350532122
sp500_dynamic,vol_top_20,defensive_stability_top_50_beta_0_6,0.6269739463125248,0.6107081870940342,0.7042358195905958
sp500_dynamic,vol_top_20,defensive_stability_top_50_beta_0_8,0.7389741635065069,0.7272441378570269,0.8002322549162784
sp500_dynamic,vol_top_20,defensive_stability_top_50_equal_weight,0.7215348906851038,0.7027389371019863,0.7990737628121866
