universe,sleeve,sleeve_type,cagr,sharpe,max_dd,volatility,turnover_sum,avg_gross,max_gross,n_rebalances
sp100_sample,vol_top_10,volatility,0.24287104970890305,0.8059619015903454,-0.5221291190768996,0.3013430898280222,80.80000000000001,0.999349240780911,1.0,239
sp100_sample,vol_top_20,volatility,0.20284967589731862,0.8252298103008222,-0.493943395673075,0.24580992272125207,59.50000000000003,0.9993492407809113,1.0000000000000002,239
sp100_sample,trend_3m_long_cash,trend,0.10058114840685972,1.0557619462457701,-0.20483078899536755,0.09526877603850055,135.91935275707456,1.2360071629920568,1.5000000000000002,239
sp100_sample,trend_6m_long_cash,trend,0.09373981691687727,0.9790818511594945,-0.14809176631951926,0.09574257433723675,104.3861239318471,1.2405408786287375,1.5000000000000002,239
sp100_sample,trend_3m_6m_long_cash,trend,0.1143683901698278,1.1861869745730564,-0.14556103346354565,0.09641683193409904,110.8484336042184,1.2441555321045616,1.5000000000000004,239
sp100_sample,trend_3m_long_short,trend,0.056368639535375964,0.600572438939879,-0.2605546442946566,0.09385818575836913,157.71673029347755,1.36493865554179,1.5000000000000004,239
sp100_sample,trend_6m_long_short,trend,0.04782919134772645,0.5215488589476923,-0.1442717178115559,0.0917060607595412,116.9193459116493,1.362177460353545,1.5000000000000004,239
sp100_sample,trend_3m_6m_long_short,trend,0.07188566790753881,0.7733071616156187,-0.18351317547765178,0.0929587510315473,122.11994508868736,1.3694701441500772,1.5000000000000004,239
sp500_dynamic,vol_top_10,volatility,0.2603018600988105,0.536449059693686,-0.7810801825502763,0.48523127293287394,145.80000000000007,0.999349240780911,1.0,239
sp500_dynamic,vol_top_20,volatility,0.2663543021729755,0.6391908534887902,-0.6242027946097892,0.41670543425203543,128.00000000000006,0.9993492407809113,1.0000000000000002,239
sp500_dynamic,trend_3m_long_cash,trend,0.10058114840685972,1.0557619462457701,-0.20483078899536755,0.09526877603850055,135.91935275707456,1.2360071629920568,1.5000000000000002,239
sp500_dynamic,trend_6m_long_cash,trend,0.09373981691687727,0.9790818511594945,-0.14809176631951926,0.09574257433723675,104.3861239318471,1.2405408786287375,1.5000000000000002,239
sp500_dynamic,trend_3m_6m_long_cash,trend,0.1143683901698278,1.1861869745730564,-0.14556103346354565,0.09641683193409904,110.8484336042184,1.2441555321045616,1.5000000000000004,239
sp500_dynamic,trend_3m_long_short,trend,0.056368639535375964,0.600572438939879,-0.2605546442946566,0.09385818575836913,157.71673029347755,1.36493865554179,1.5000000000000004,239
sp500_dynamic,trend_6m_long_short,trend,0.04782919134772645,0.5215488589476923,-0.1442717178115559,0.0917060607595412,116.9193459116493,1.362177460353545,1.5000000000000004,239
sp500_dynamic,trend_3m_6m_long_short,trend,0.07188566790753881,0.7733071616156187,-0.18351317547765178,0.0929587510315473,122.11994508868736,1.3694701441500772,1.5000000000000004,239
