date,variant,is_control_date,stress_score,dynamic_beta_cap,beta_before,beta_after,scale,projection_reason,gross_before,gross_after,gate_violation_after,realized_beta_63d
2008-01-02,b3_1_reference,False,0.5651246579574709,0.9,,,1.0,held,0.0,0.0,False,
2008-01-03,b3_1_reference,False,0.5530765491039549,0.9,,,1.0,held,0.0,0.0,False,
2008-01-04,b3_1_reference,False,0.6139050819639204,0.9,,,1.0,held,0.0,0.0,False,
2008-01-07,b3_1_reference,True,0.6117176537385769,0.9,0.41119824899340723,0.5,1.2159584852901855,beta_up,0.9479787713148833,1.1527028308552967,False,
2008-01-08,b3_1_reference,False,0.6554763801139221,0.9,0.40789602875399206,0.4959846372795862,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-01-09,b3_1_reference,False,0.62694661698729,0.9,0.40459231840579946,0.49196746264876035,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-01-10,b3_1_reference,False,0.6032074501271396,0.9,0.4028913572191446,0.48989916446069826,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-01-11,b3_1_reference,False,0.6193815330585284,0.9,0.40268392042045065,0.48964692992516473,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-01-14,b3_1_reference,False,0.5943854968096083,0.9,0.40740508333406905,0.49538766803041645,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-01-15,b3_1_reference,False,0.6336378483207477,0.9,0.420131054358996,0.5108619204817335,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-01-16,b3_1_reference,False,0.6652295204988495,0.9,0.4283637841407272,0.5208725781169308,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-01-17,b3_1_reference,False,0.7320100911198514,0.9,0.42156463680897727,0.5126050972261514,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-01-18,b3_1_reference,False,0.7417197164765346,0.9,0.41795942925532775,0.508221314510059,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-01-22,b3_1_reference,False,0.7659886095272121,0.9,0.4166359823626446,0.5066120580310698,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-01-23,b3_1_reference,False,0.7283983571218975,0.9,0.4154512257143865,0.5051714431316167,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-01-24,b3_1_reference,False,0.7103464221260771,0.9,0.41803096062488637,0.5083082936858381,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-01-25,b3_1_reference,False,0.737178907672198,0.9,0.4096818031146033,0.49815606476618496,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-01-28,b3_1_reference,False,0.7061815487976102,0.9,0.4152903653573514,0.5049758436155327,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-01-29,b3_1_reference,False,0.6955357122973834,0.9,0.4064649523809054,0.494244507820633,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-01-30,b3_1_reference,False,0.7072348881509338,0.9,0.4046731232201298,0.49206571794839765,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-01-31,b3_1_reference,False,0.6679977838685852,0.9,0.40375199173892384,0.4909456603077575,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-02-01,b3_1_reference,False,0.6215165939617437,0.9,0.40460563443505376,0.49198365438752256,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-02-04,b3_1_reference,False,0.6602028437235745,0.9,0.4072294596553959,0.4951741169281161,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-02-05,b3_1_reference,False,0.7195550466801458,0.9,0.410757111512824,0.49946359513730526,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-02-06,b3_1_reference,False,0.7350873617972269,0.9,0.4076680960258981,0.49570748054478486,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-02-07,b3_1_reference,False,0.7157441797177541,0.9,0.40482698161564806,0.4922528033699612,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-02-08,b3_1_reference,False,0.7279288803508984,0.9,0.40306373900662523,0.49010877355789484,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-02-11,b3_1_reference,False,0.7146950086412095,0.9,0.4048844927970034,0.4923227345789292,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-02-12,b3_1_reference,False,0.6919932475229026,0.9,0.4036533858909329,0.49082575969019354,1.0,held,0.9479787713148833,1.1527028308552967,False,
2008-02-13,b3_1_reference,False,0.6583678234370003,0.9,0.38879206052760157,0.4727550050119924,1.0,held,0.9479787713148833,1.1527028308552967,False,
