regime,start,end,cagr,sharpe,max_dd,n_days
2019 bull market,2019-01-01,2019-12-31,0.275125658613117,2.6490983405484223,-0.05700638747711795,252
2020 COVID crash,2020-01-01,2020-12-31,0.12400124933525491,0.43531082627134776,-0.3298129817591118,253
2021 recovery,2021-01-01,2021-12-31,0.29242228465952946,2.4201433495965192,-0.0657093036007651,252
2022 bear market,2022-01-01,2022-12-31,-0.1374756614926831,-0.7278393653388834,-0.17112401201607153,251
2023–2026 recovery,2023-01-01,2026-04-24,0.3093921250668128,2.4733190628164508,-0.10553672426054506,830
full holdout 2019–2026,2019-01-01,2026-04-24,0.20689367461730668,1.2700663337917146,-0.3298129817591118,1838
