date,nav,turnover,cost,tc_drag,slippage_drag,cash_exposure
2008-01-03,50000.0,0.0,0.0,0.0,0.0,1.0
2008-01-04,50000.0,0.0,0.0,0.0,0.0,1.0
2008-01-07,50000.0,0.0,0.0,0.0,0.0,1.0
2008-01-08,49952.60106143427,0.4739893856574417,47.398938565744174,47.398938565744174,0.0,0.05112171221173223
2008-01-09,49652.96599468944,0.006552274853569451,0.6506882879612989,0.6506882879612989,0.0,0.053007940259513116
2008-01-10,49683.57546808023,0.00792514736989901,0.7875117971901665,0.7875117971901665,0.0,0.052353923643796235
2008-01-11,49804.5552430355,0.008266632071524593,0.8234454816018455,0.8234454816018455,0.0,0.05181124273616865
2008-01-14,50110.31232836159,0.003946076016997709,0.3954813245651648,0.3954813245651648,0.0,0.05218873400194501
2008-01-15,50129.81167629413,0.011488618356191334,1.1518710160463723,1.1518710160463723,0.0,0.05160370054359168
2008-01-16,49638.34220814843,0.007589990014623939,0.7535204818305311,0.7535204818305311,0.0,0.05250733878804914
2008-01-17,49348.117908904875,0.01018367576411637,1.0051109361551045,1.0051109361551045,0.0,0.053223755497285474
2008-01-18,48979.14424196283,0.012837853071131871,1.2576064045886735,1.2576064045886735,0.0,0.05474353662119428
2008-01-22,48146.91781861646,0.010265708696290659,0.9885447621254474,0.9885447621254474,0.0,0.054970099045636
2008-01-23,48954.726253396875,0.009958943772873699,0.9750941541637159,0.9750941541637159,0.0,0.05552480959800498
2008-01-24,49476.88562637497,0.013110960110574749,1.2974129683450928,1.2974129683450928,0.0,0.054660553186685897
2008-01-25,49824.83848916929,0.009084504384205931,0.9052843755141782,0.9052843755141782,0.0,0.05425598761711708
2008-01-28,49631.49881596821,0.005387910953697623,0.5348259554272187,0.5348259554272187,0.0,0.054875639302916744
2008-01-29,49891.25018032966,0.005193112943315484,0.5181871761483847,0.5181871761483847,0.0,0.05416825272175649
2008-01-30,49618.41088770157,0.003959214013791901,0.3929029266308916,0.3929029266308916,0.0,0.053927513787825024
2008-01-31,49520.47059623482,0.003005976497238213,0.29771653134670784,0.29771653134670784,0.0,0.054196440596818475
2008-02-01,50185.72522413594,0.0069874149321378495,0.7013467728244154,0.7013467728244154,0.0,0.05329301514892845
2008-02-04,49756.43794410206,0.011279829322024038,1.1225135788858667,1.1225135788858667,0.0,0.05222358155567141
2008-02-05,49331.52244606601,0.05280357282598333,5.210311522322784,5.210311522322784,0.0,0.09496161099220882
2008-02-06,49236.57816611708,0.01563372613455407,1.5395504955249115,1.5395504955249115,0.0,0.09745362324699586
2008-02-07,48738.982463857894,0.003261650684594634,0.3179411450652829,0.3179411450652829,0.0,0.09811048585392916
2008-02-08,48925.02819752417,0.006084943832116306,0.5954193433198033,0.5954193433198033,0.0,0.09731517659982918
2008-02-11,49332.34866505208,0.0031748368923481783,0.31324631006786463,0.31324631006786463,0.0,0.09781820256445425
