universe,requested_tickers,fundamental_tickers,fundamental_ticker_coverage_pct,raw_columns,engineered_columns
sp100_sample,44,44,1.0,"filing_date,ticker,eps,book_value,net_income,shares_outstanding,revenue,gross_profit,total_assets,total_debt,operating_income,interest_expense,operating_cash_flow","pe_ratio,pb_ratio,roe,eps_growth_yoy,debt_to_assets,debt_to_equity,asset_turnover,accruals_proxy,net_debt_to_assets,interest_coverage,ocf_to_net_income,gross_margin"
sp500_dynamic,503,503,1.0,"filing_date,ticker,eps,book_value,net_income,shares_outstanding,revenue,gross_profit,total_assets,total_debt,operating_income,interest_expense,operating_cash_flow","pe_ratio,pb_ratio,roe,eps_growth_yoy,debt_to_assets,debt_to_equity,asset_turnover,accruals_proxy,net_debt_to_assets,interest_coverage,ocf_to_net_income,gross_margin"
