universe,sleeve,sleeve_type,cagr,sharpe,max_dd,volatility,turnover_sum,n_rebalances,target_beta,avg_realized_beta
sp100_sample,vol_top_10,volatility,0.23995995236730172,0.7947927905187655,-0.5087670608451254,0.30191510948492445,81.20000000000003,239,,1.4098811775118596
sp100_sample,vol_top_20,volatility,0.2023710705636208,0.8225343923006667,-0.4939433956730751,0.24603356705557267,59.00000000000002,239,,1.1818996042954493
sp100_sample,defensive_stability_top_30_equal_weight,defensive,0.16025720490921525,0.837665562734193,-0.4155459253302264,0.19131406618427246,43.13333333333336,239,,0.8717339424240869
sp100_sample,defensive_stability_top_50_equal_weight,defensive,0.16330263674773615,0.8756029850128475,-0.3861053520146821,0.18650306079682913,1.4767314175708952,239,,0.8933490770132415
sp100_sample,defensive_stability_top_30_beta_0_6,defensive,0.12523884771347227,0.7813319248954936,-0.39076058740348363,0.16028891655774014,110.78036183392729,239,0.6,0.6054063065328682
sp100_sample,defensive_stability_top_50_beta_0_6,defensive,0.12640358663657913,0.7897339471808491,-0.41210641191884345,0.16005844384404144,81.66019452651634,239,0.6,0.6038075308445159
sp100_sample,defensive_stability_top_30_beta_0_8,defensive,0.1474327635647401,0.8252292450027097,-0.4148915817279377,0.1786567362433405,76.14972034859827,239,0.8,0.8000942025815455
sp100_sample,defensive_stability_top_50_beta_0_8,defensive,0.14684765195043026,0.8258326879943093,-0.42489447209036924,0.17781767915614666,37.08244620167566,239,0.8,0.8003218392899827
sp500_dynamic,vol_top_10,volatility,0.258781768592387,0.5333948599973172,-0.7810801825502763,0.48515984686033264,145.80000000000007,239,,2.153372319718877
sp500_dynamic,vol_top_20,volatility,0.2660993153492912,0.6384727880390051,-0.6242027946097892,0.4167747166900947,128.10000000000005,239,,1.9671614253018546
sp500_dynamic,defensive_stability_top_30_equal_weight,defensive,0.1194479329362843,0.6498525236493332,-0.4760740656454665,0.1838077542047672,152.66666666666663,239,,0.8221620925806334
sp500_dynamic,defensive_stability_top_50_equal_weight,defensive,0.11418721194369219,0.6020785930425472,-0.4967881946629764,0.18965499398784122,128.24000000000004,239,,0.8478948014956721
sp500_dynamic,defensive_stability_top_30_beta_0_6,defensive,0.09563012311069152,0.6009180484102401,-0.4524218592106275,0.1591400414144424,205.11253704513757,239,0.6,0.6032137946390524
sp500_dynamic,defensive_stability_top_50_beta_0_6,defensive,0.06758762722518741,0.4142650794391743,-0.5178544344122997,0.1631506747242285,188.39275246297382,239,0.6,0.6008859198093074
sp500_dynamic,defensive_stability_top_30_beta_0_8,defensive,0.1033953711643254,0.5721088109535228,-0.46779805691199416,0.18072675893943727,177.22590565338186,239,0.8,0.7999999732475268
sp500_dynamic,defensive_stability_top_50_beta_0_8,defensive,0.09389564583442245,0.5149088768092868,-0.5013196815587928,0.18235390777541352,155.4681065640816,239,0.8,0.8000000000000002
