universe,cohort,cagr,sharpe,max_dd,volatility,turnover_sum,avg_gross,max_gross,avg_candidates,min_candidates,avg_score_non_null,min_score_non_null,avg_selected,min_selected,passes_drawdown,passes_sharpe,passes_selection_depth
sp100_sample,baseline_current_mask,0.1822004404333375,1.7392971450392654,-0.17004049951091,0.1047552115824488,203.9919534129562,1.1391765240878726,1.375,41.33054393305439,39,40.63598326359833,36,20.0,20,True,True,True
sp500_dynamic,baseline_current_mask,0.2350602254934757,1.5375856111046415,-0.2635716380436149,0.1528761870531569,230.7480251796179,1.1391765240878726,1.375,286.97489539748955,128,286.63598326359835,128,20.0,20,True,True,True
