Experiment,CAGR,Sharpe,MaxDD,Volatility
Equal_Weight_Universe,0.12937100558227188,0.6161420984497247,-0.5509058115126598,0.20996943060339865
Alpha_Top50_EW,0.13472372676758382,0.6352323633933443,-0.5525241370508975,0.21208574142523826
Alpha_Opt_NoRisk,0.11231188678896054,0.5509810597829556,-0.5482757140382408,0.20383983223162486
Full_System,0.08704982247273163,0.5895147014536207,-0.3439440910678,0.1476635311351606
